Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1811.3,35.76,22.05,93.2,4.81,43.0,5.25,45.9,36.6,69.7,114.8,IR29,0.1,0.36
2011,3366.9,34.66,22.56,93.8,7.64,22.2,6.44,68.7,24.2,62.8,99.3,IR64,10.2,0.09
2012,2776.4,29.7,23.19,88.3,5.18,24.9,5.13,49.3,13.6,117.3,191.6,IR64,8.3,0.17
2013,2416.4,29.45,25.5,70.7,6.64,21.1,6.78,109.0,31.4,88.3,177.0,IR64,4.4,0.14
2014,1221.3,29.47,21.4,63.4,6.83,28.1,6.39,89.9,32.8,105.8,156.0,IR64,2.4,0.3
2015,1221.2,30.43,23.6,83.9,4.29,29.7,5.36,66.5,26.8,141.7,184.6,Rc160,6.8,0.14
2016,956.8,32.2,24.15,75.4,9.79,26.8,5.01,45.1,33.1,82.4,176.4,IR64,18.9,0.03
2017,3138.7,31.46,20.33,64.3,8.43,40.7,6.47,64.9,24.8,96.9,102.4,IR29,6.5,0.56
2018,2423.0,30.33,24.25,77.3,9.58,28.9,6.27,66.0,25.7,128.0,187.1,Tubigan 18,10.4,0.6
2019,2711.8,32.89,21.19,61.2,9.26,27.0,6.31,98.4,22.8,80.6,144.7,IR64,14.1,0.41
2020,855.6,29.12,20.46,91.8,7.19,33.6,6.39,91.0,10.8,66.9,176.9,Rc160,7.3,0.04
