Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2121.5,28.72,21.22,88.6,9.28,20.1,6.53,103.6,38.6,136.6,142.2,NSIC Rc222,8.8,0.29
2011,3461.3,34.68,24.84,79.4,9.21,24.0,6.18,80.2,37.4,88.5,185.3,IR64,13.4,0.9
2012,1453.5,30.57,22.71,78.5,8.46,33.7,6.02,86.2,21.1,75.3,168.9,IR29,6.6,0.15
2013,2614.8,29.49,26.56,68.5,7.49,37.3,5.17,79.4,10.5,110.1,163.6,Tubigan 18,3.1,0.84
2014,2856.4,28.33,20.96,63.3,3.59,36.3,5.66,55.6,37.8,144.3,164.3,IR29,19.6,0.46
2015,1441.6,32.73,22.39,91.4,4.13,25.6,5.48,97.8,22.8,122.6,123.1,IR64,16.8,0.18
2016,2766.2,33.42,20.79,91.5,9.29,37.8,5.44,62.5,39.0,111.3,115.2,IR29,17.2,0.12
2017,1793.0,28.13,26.47,82.2,7.25,25.9,6.75,41.9,38.9,68.7,177.1,Rc160,5.0,0.11
2018,2507.2,32.1,26.14,71.9,3.06,28.1,5.71,91.6,35.6,115.4,177.2,IR29,0.8,0.58
2019,2510.5,29.81,21.81,72.2,3.71,38.7,6.61,54.2,18.8,149.1,184.0,NSIC Rc222,6.1,0.07
2020,2246.6,33.16,24.62,85.4,7.64,36.2,6.14,115.2,21.6,72.6,189.6,NSIC Rc222,10.7,-0.17
