Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2808.9,29.46,22.39,82.7,9.61,40.5,6.23,73.9,32.2,91.9,173.8,NSIC Rc222,1.6,0.61
2011,1477.3,35.48,20.64,61.7,9.61,36.3,5.61,85.5,17.1,146.1,93.6,IR29,1.7,0.77
2012,1297.7,33.11,20.66,93.2,9.07,25.2,5.47,86.1,21.3,120.9,191.7,IR64,19.7,0.54
2013,1018.4,32.13,22.18,91.0,7.45,26.8,5.89,98.5,26.0,103.4,196.9,Tubigan 18,7.5,0.2
2014,1956.4,33.26,26.86,69.1,8.61,25.4,6.25,50.2,24.9,104.4,199.5,Tubigan 18,7.4,0.37
2015,2658.9,31.49,21.23,60.5,7.74,29.4,5.63,60.0,21.7,67.5,86.7,NSIC Rc222,16.3,0.17
2016,957.1,33.84,20.12,92.7,7.01,21.0,6.69,86.4,18.9,68.3,168.4,IR64,18.9,0.22
2017,3271.1,28.38,25.34,77.5,3.9,35.5,5.07,109.4,13.0,114.2,145.5,NSIC Rc222,19.7,0.48
2018,1994.4,32.53,25.65,78.9,8.68,28.4,5.75,84.9,11.6,109.8,164.7,Rc160,15.1,0.48
2019,1447.4,29.27,22.42,83.9,8.74,36.4,6.74,59.1,38.8,79.1,196.2,NSIC Rc222,7.5,0.06
2020,1053.5,28.96,23.25,81.6,7.38,29.6,5.99,94.4,35.4,145.2,162.6,NSIC Rc222,1.7,0.41
