Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2248.8,34.0,23.75,79.8,5.56,42.4,6.51,114.6,10.1,78.5,108.3,IR64,2.8,0.88
2011,3294.9,28.24,21.63,73.3,6.41,34.4,5.37,65.7,13.5,94.1,156.1,IR64,15.9,0.69
2012,1437.5,34.94,22.4,71.8,8.96,42.9,6.74,87.5,24.2,143.4,188.9,IR64,12.4,0.21
2013,2851.9,30.83,23.32,91.5,3.62,20.1,6.28,69.5,28.2,124.9,117.9,IR64,10.7,0.75
2014,2234.4,31.18,22.49,81.3,8.64,44.4,5.36,76.3,33.8,64.3,150.6,NSIC Rc222,17.9,0.81
2015,2745.4,28.84,24.54,68.6,3.39,32.3,6.33,83.9,13.2,130.3,162.0,Tubigan 18,15.8,0.35
2016,968.3,33.9,23.36,77.4,8.9,38.1,5.95,83.9,35.5,134.5,134.2,Rc160,3.0,0.12
2017,1198.9,29.46,24.09,71.6,3.36,40.5,6.27,56.1,32.4,127.5,165.7,Rc160,6.2,0.09
2018,1159.4,32.51,25.16,92.7,3.13,38.0,6.38,94.8,22.3,132.0,188.0,Rc160,5.0,0.55
2019,2655.3,34.73,23.9,60.3,7.88,33.4,5.16,47.0,38.0,134.3,154.9,Rc160,14.9,0.78
2020,3080.0,28.71,24.11,67.9,9.98,31.9,5.91,51.1,39.7,76.8,144.8,NSIC Rc222,0.7,0.97
