Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2265.4,32.05,24.25,90.4,9.44,42.9,6.79,85.2,38.4,80.8,182.7,Tubigan 18,5.2,0.74
2011,1479.9,32.89,22.97,78.2,5.42,29.1,5.9,45.3,21.2,120.5,179.6,Rc160,7.6,0.59
2012,1733.4,28.14,25.16,80.7,5.43,34.5,6.07,102.0,18.1,61.8,127.7,IR29,11.8,0.32
2013,1290.3,34.98,26.54,74.0,8.16,35.8,5.12,76.3,29.3,69.4,160.2,Tubigan 18,5.4,0.18
2014,3252.8,35.46,26.48,61.9,6.17,20.3,6.35,82.0,22.3,132.0,104.6,IR29,12.5,0.97
2015,2375.2,32.52,23.16,71.7,4.57,36.6,5.38,75.3,10.8,76.1,115.2,NSIC Rc222,8.2,1.08
2016,1882.3,33.57,20.79,88.1,6.17,24.5,6.62,72.1,14.7,118.7,187.6,NSIC Rc222,11.0,0.57
2017,2047.4,35.38,26.89,60.2,3.99,44.0,5.37,84.8,31.5,81.4,81.6,IR64,8.7,0.2
2018,3357.7,33.66,25.87,71.7,4.23,23.7,5.34,52.4,29.8,68.9,90.3,Tubigan 18,5.9,0.45
2019,1214.0,29.22,20.87,73.9,6.49,30.4,5.07,54.6,10.8,81.9,104.9,IR29,19.0,-0.14
2020,2382.8,32.61,26.45,78.8,5.93,22.1,5.85,108.9,16.7,125.0,83.2,Rc160,15.3,0.47
