Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1535.2,29.1,20.33,79.8,7.18,40.0,5.98,115.5,39.1,66.9,153.9,IR64,14.6,0.03
2011,849.7,35.2,21.16,76.7,5.34,37.4,6.57,43.2,38.3,122.7,108.0,Tubigan 18,0.1,0.14
2012,3268.6,34.99,25.17,83.2,8.4,26.8,6.32,96.4,24.2,90.6,82.9,Tubigan 18,9.3,0.75
2013,1117.9,32.78,20.58,92.8,3.75,34.8,6.45,114.0,35.9,125.2,184.4,IR29,5.9,-0.2
2014,2356.6,32.8,24.22,85.6,3.53,29.0,6.19,54.4,35.3,65.9,82.6,IR64,17.1,0.67
2015,1539.9,33.32,21.72,67.5,8.1,22.3,6.25,85.4,19.6,88.4,185.0,IR29,14.3,0.37
2016,2296.3,29.4,22.73,61.1,6.47,42.9,6.53,113.2,34.9,108.6,143.5,IR64,11.8,0.39
2017,2558.8,35.32,22.02,69.2,7.82,23.4,5.45,42.7,11.1,131.2,192.7,NSIC Rc222,5.5,0.27
2018,3040.3,31.35,22.49,80.8,6.04,43.8,5.88,95.8,27.9,88.7,175.9,IR64,18.2,0.4
2019,1357.3,31.07,25.03,61.8,4.72,31.2,5.4,63.8,16.9,116.3,199.8,IR29,0.9,0.46
2020,829.7,32.15,22.08,77.4,8.73,24.6,6.78,114.0,13.6,139.7,122.1,Tubigan 18,2.2,0.18
