Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,899.2,31.93,21.91,84.4,7.0,26.0,5.41,70.1,33.7,149.1,80.1,IR29,19.3,0.07
2011,3384.6,35.97,23.34,61.7,7.63,43.3,6.64,40.7,15.2,120.8,99.1,Rc160,15.2,1.35
2012,3030.8,35.18,20.31,78.6,6.81,22.6,5.0,105.5,33.1,100.1,136.2,Rc160,8.8,0.05
2013,2962.1,31.71,25.97,93.7,9.05,37.5,6.0,50.3,38.4,118.3,193.3,Rc160,6.2,0.42
2014,2500.4,32.98,20.25,63.8,8.14,24.7,6.36,62.7,15.0,113.5,92.3,IR64,6.4,0.32
2015,1384.1,33.98,22.3,91.3,6.65,42.0,5.47,41.5,33.1,94.5,182.5,IR29,14.5,0.78
2016,2199.3,28.28,26.52,94.7,9.08,44.0,5.35,74.6,31.3,65.9,143.2,IR29,14.9,-0.33
2017,2412.6,35.16,25.15,62.2,4.72,31.6,5.15,107.2,24.2,133.9,179.1,Tubigan 18,4.0,0.6
2018,2217.6,34.88,21.97,90.9,4.1,42.0,5.59,71.4,11.7,93.5,115.8,Tubigan 18,17.4,0.34
2019,1502.6,31.66,21.77,78.1,4.12,20.1,6.01,54.4,12.2,133.7,180.8,Tubigan 18,14.3,0.79
2020,2191.2,31.13,20.04,91.7,5.34,40.5,5.21,100.3,35.6,82.7,172.7,Rc160,11.3,0.87
