Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1468.4,33.44,20.72,62.9,3.87,32.1,6.17,92.3,38.8,95.6,108.3,Tubigan 18,13.1,0.22
2011,2307.7,31.16,24.0,88.9,9.27,36.5,5.86,66.6,22.5,114.6,173.1,IR64,6.5,0.81
2012,1409.0,35.8,20.13,72.5,7.16,33.8,6.11,83.4,35.4,113.8,128.6,IR29,15.5,0.5
2013,1234.2,33.78,23.38,71.3,7.32,34.9,5.59,79.5,28.9,131.4,152.2,NSIC Rc222,2.6,-0.14
2014,2559.1,33.26,21.47,94.2,7.29,39.6,5.85,46.5,32.1,119.0,155.9,IR64,19.4,0.22
2015,1680.0,34.06,22.42,67.0,5.09,32.0,6.34,72.3,33.0,149.3,124.7,Rc160,9.1,0.5
2016,2393.7,35.62,25.43,84.3,9.55,21.0,6.57,57.6,25.1,85.5,141.5,IR64,4.7,0.7
2017,1969.8,35.26,26.59,88.8,9.63,24.1,5.78,73.5,26.3,92.3,129.6,IR64,1.5,0.76
2018,3457.7,33.79,20.51,61.4,7.38,31.0,5.08,56.3,25.4,94.5,88.3,IR29,3.4,0.97
2019,1203.9,33.99,23.74,83.5,8.48,38.1,5.29,107.2,27.6,101.9,132.5,NSIC Rc222,10.4,0.25
2020,2054.4,29.17,26.18,93.3,7.29,34.8,5.04,53.9,10.9,135.2,91.7,Rc160,6.7,0.5
