Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2435.5,35.97,25.14,78.5,3.04,20.6,6.52,61.3,31.6,110.7,92.3,IR29,15.8,0.59
2011,3280.6,28.48,25.34,87.8,9.56,27.7,5.44,41.8,36.0,70.8,102.7,Rc160,17.8,0.32
2012,1778.1,28.03,26.5,94.7,8.75,33.7,5.86,86.7,23.6,142.5,174.0,IR64,8.7,0.42
2013,2759.4,33.12,20.21,67.0,8.66,35.8,5.26,107.4,34.6,124.9,165.8,IR64,18.2,0.53
2014,3215.0,30.39,26.1,94.8,9.19,34.4,6.28,83.9,26.6,96.1,151.2,Rc160,7.5,0.26
2015,2031.1,29.92,23.69,63.1,7.9,37.4,6.2,57.5,29.1,74.3,187.5,Rc160,19.3,0.7
2016,1997.3,30.5,24.43,60.1,3.73,20.2,5.38,42.7,25.8,139.4,150.0,IR64,1.8,0.43
2017,2425.7,30.05,24.51,61.5,5.79,22.5,6.55,57.2,23.9,134.1,136.0,Rc160,13.7,0.35
2018,2396.8,28.25,25.74,72.0,8.06,41.7,5.72,73.3,17.0,125.0,120.8,NSIC Rc222,9.9,0.31
2019,2977.8,35.77,22.33,82.2,4.96,37.0,5.53,100.8,19.1,84.4,192.9,IR29,7.8,0.58
2020,2086.5,29.77,25.13,62.4,7.81,22.8,5.27,55.0,18.7,96.2,89.9,IR29,12.7,0.51
