Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3144.3,30.53,23.61,83.5,6.99,45.0,6.2,71.7,23.9,114.7,191.2,NSIC Rc222,3.6,0.95
2011,1355.8,32.06,23.42,75.5,3.21,21.2,6.45,95.6,21.4,128.8,87.2,IR29,10.5,0.42
2012,1102.2,28.33,24.67,90.4,9.52,44.4,6.37,71.1,35.9,133.2,192.1,NSIC Rc222,14.2,0.3
2013,1528.3,29.19,20.98,66.2,7.83,30.2,6.44,75.9,25.6,124.6,122.2,NSIC Rc222,2.1,0.68
2014,954.1,35.89,20.21,84.2,7.74,41.8,5.78,59.0,24.4,146.0,92.2,IR64,11.3,0.36
2015,2234.2,35.72,22.16,89.3,4.51,39.6,6.47,69.9,10.8,61.6,138.3,Tubigan 18,5.1,0.33
2016,3328.8,28.04,24.93,93.1,7.61,34.2,5.22,58.2,20.2,77.6,110.8,IR29,19.3,0.7
2017,906.2,35.61,21.41,83.9,5.76,38.5,5.98,45.9,21.4,60.7,114.2,NSIC Rc222,9.7,0.37
2018,1129.7,33.11,24.71,77.4,7.56,42.0,5.01,88.3,22.0,118.3,116.9,IR64,16.1,-0.13
2019,2020.9,34.94,26.79,81.6,3.75,30.1,5.58,93.5,27.4,140.8,176.4,Rc160,11.0,0.73
2020,3321.5,31.64,20.66,90.4,7.6,28.2,5.66,89.6,26.0,81.9,144.7,IR29,0.9,0.5
