Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3230.1,32.69,22.74,64.5,5.48,28.3,6.24,71.9,34.8,95.7,178.1,NSIC Rc222,12.1,0.71
2011,1754.2,29.34,24.16,63.6,3.49,36.7,5.36,52.2,33.5,100.2,125.7,IR29,15.3,0.35
2012,1439.6,33.89,23.48,85.4,6.63,44.9,5.96,119.4,31.3,114.1,185.4,NSIC Rc222,3.5,-0.22
2013,2907.4,34.9,26.91,80.2,3.47,36.5,5.17,114.2,11.1,106.4,184.2,NSIC Rc222,10.1,0.32
2014,1542.0,29.73,20.96,69.6,8.6,33.9,5.81,83.2,19.1,142.7,176.7,IR64,8.0,-0.54
2015,3021.1,28.77,24.87,62.8,4.64,38.3,6.36,107.4,17.9,104.7,174.8,NSIC Rc222,2.9,0.62
2016,1944.1,28.19,22.83,63.0,6.78,31.6,5.63,81.7,20.8,149.3,116.6,IR64,7.4,0.46
2017,2602.4,33.14,23.0,91.3,9.16,21.5,6.2,89.9,12.6,136.6,89.7,Tubigan 18,1.4,0.25
2018,1057.9,32.86,25.02,66.7,7.56,34.1,6.43,47.1,38.1,78.8,128.4,IR64,0.5,0.41
2019,2484.4,32.37,24.85,71.3,6.73,43.9,6.67,100.4,26.6,143.8,100.8,IR29,2.7,0.09
2020,2019.8,29.86,26.94,67.9,5.27,24.4,5.42,50.2,19.2,70.5,163.4,IR64,19.3,0.07
