Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,965.6,30.43,22.98,74.6,8.61,38.4,5.79,45.3,10.4,119.4,94.6,Tubigan 18,7.8,0.36
2011,2908.1,28.81,20.91,76.8,9.72,31.9,5.46,81.5,38.7,128.8,153.8,IR29,3.3,0.63
2012,2041.5,33.54,26.21,60.7,6.41,29.4,6.51,52.0,32.1,83.9,173.0,NSIC Rc222,5.5,-0.11
2013,957.0,28.5,23.15,69.1,3.77,29.9,5.07,99.0,20.6,61.9,157.3,Rc160,18.6,-0.17
2014,3486.1,32.08,21.36,86.6,6.84,31.5,6.62,81.0,18.9,67.4,143.6,NSIC Rc222,13.5,0.79
2015,956.0,35.97,22.57,64.8,6.18,39.6,5.83,94.4,20.5,147.1,85.0,IR64,9.9,-0.15
2016,2676.6,34.51,22.9,78.7,8.91,42.3,6.15,43.3,33.2,86.6,196.2,NSIC Rc222,0.3,0.57
2017,3455.9,32.92,25.79,67.5,3.69,43.9,6.19,46.8,29.8,129.2,175.8,IR64,19.8,0.55
2018,1445.8,30.45,25.14,60.4,6.42,39.7,6.61,97.3,15.6,116.2,115.1,IR64,13.4,0.19
2019,1184.1,32.99,25.39,68.4,4.05,27.9,6.15,45.8,15.2,94.4,197.6,Rc160,6.3,-0.0
2020,1127.7,32.22,20.08,94.2,5.27,37.2,6.11,45.7,13.0,78.5,152.2,IR29,17.6,0.52
