Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2256.8,33.95,25.19,73.1,8.89,24.5,6.27,118.6,33.0,145.5,86.7,NSIC Rc222,13.1,0.88
2011,2765.5,32.9,26.17,78.9,6.29,20.7,5.1,56.8,32.0,78.3,182.3,Rc160,19.1,0.4
2012,1091.4,28.85,21.95,78.3,6.51,24.2,5.88,106.0,19.0,110.9,107.1,IR64,1.4,0.24
2013,2650.3,29.21,21.36,89.7,3.87,24.5,6.08,81.6,15.2,148.2,125.2,IR64,1.1,0.26
2014,1048.1,28.75,26.16,89.4,5.7,29.7,6.08,69.9,29.1,74.9,135.4,IR29,5.6,-0.49
2015,3405.9,32.62,24.6,89.1,7.5,30.1,5.04,49.8,24.9,123.0,137.7,IR64,5.2,0.87
2016,2118.7,35.02,22.18,60.4,8.46,41.9,5.58,98.8,15.3,112.7,132.2,IR29,4.9,0.64
2017,1206.8,31.47,25.2,86.2,4.52,32.8,6.15,58.9,30.6,112.8,192.5,IR29,18.1,0.17
2018,1724.4,29.29,25.71,86.6,3.96,38.1,5.27,69.7,39.7,122.8,164.7,IR29,5.0,0.36
2019,1916.2,32.46,24.3,83.7,7.64,22.6,6.25,45.0,32.4,143.7,155.7,IR64,5.4,0.53
2020,2847.1,34.49,24.82,86.5,3.01,25.6,6.34,104.1,32.2,130.4,86.0,IR29,15.2,0.04
