Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2773.2,29.21,23.8,79.1,8.3,21.6,5.37,95.7,29.6,120.1,89.5,Tubigan 18,8.4,0.34
2011,3449.5,29.8,20.57,62.2,6.64,31.6,5.94,103.5,14.6,117.1,167.8,NSIC Rc222,18.1,0.5
2012,1492.6,30.01,23.21,77.9,4.43,42.7,5.52,65.3,23.2,74.9,102.5,Rc160,14.8,0.09
2013,2566.3,34.8,23.39,88.2,9.14,33.5,6.43,108.6,28.5,139.4,183.0,IR29,3.8,0.63
2014,1334.9,32.49,21.16,76.1,9.16,32.4,6.04,112.5,12.5,98.5,178.3,IR29,12.3,-0.01
2015,2326.4,32.19,26.62,61.8,9.09,22.6,6.14,62.2,36.5,74.6,144.9,NSIC Rc222,8.7,0.36
2016,2052.6,28.92,25.95,87.5,4.67,36.4,6.44,118.7,34.1,61.1,165.2,Tubigan 18,11.5,0.21
2017,3424.4,34.88,24.68,67.0,6.16,40.6,5.71,51.3,25.2,110.4,117.7,IR29,14.8,0.5
2018,2443.0,33.78,23.24,69.1,9.89,29.5,6.65,56.2,39.0,107.5,136.5,NSIC Rc222,16.1,0.59
2019,1743.7,28.54,22.88,65.8,8.4,39.4,5.96,54.7,22.5,124.7,178.6,IR64,16.9,0.17
2020,1108.1,33.66,24.56,71.6,3.19,44.1,5.28,111.5,39.5,140.1,135.1,Tubigan 18,5.1,0.2
