Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2860.5,29.35,20.19,82.0,8.77,35.7,5.88,77.2,17.0,63.6,150.9,IR64,13.5,0.83
2011,1902.4,31.12,26.76,78.6,3.52,33.3,6.33,51.0,33.6,114.4,144.4,IR64,0.9,0.07
2012,2850.0,31.04,20.89,82.2,4.58,41.0,5.95,67.3,39.1,141.7,182.5,Tubigan 18,9.0,0.76
2013,3239.7,29.81,24.95,75.7,8.11,27.1,5.06,53.2,17.9,81.5,85.9,IR64,18.6,0.72
2014,1428.5,31.05,26.81,67.6,7.19,30.7,6.56,53.6,18.1,102.3,180.0,IR64,3.3,0.54
2015,2980.0,29.03,25.78,64.2,3.45,26.7,5.12,115.8,24.2,100.5,181.3,IR64,7.8,0.16
2016,959.6,31.3,24.9,62.4,9.14,39.7,6.72,75.6,39.5,102.6,114.2,Tubigan 18,14.6,0.41
2017,3226.9,34.42,25.88,69.2,9.14,34.3,5.05,103.1,18.1,116.0,135.5,Rc160,17.6,0.9
2018,2557.1,31.83,26.87,61.6,5.31,36.5,6.25,91.2,22.2,102.3,132.6,Rc160,13.4,0.52
2019,3160.4,28.14,24.35,79.9,5.38,26.3,5.15,94.1,36.7,100.3,106.2,IR64,5.2,0.31
2020,800.5,31.37,23.91,69.9,9.92,25.5,6.64,50.5,10.1,102.7,127.6,Tubigan 18,13.5,0.48
