Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1891.4,29.23,20.59,62.7,3.09,28.5,6.04,114.1,23.3,107.9,179.7,IR64,2.6,0.4
2011,1666.9,29.37,22.8,79.0,5.59,32.9,6.01,73.1,39.8,75.2,145.4,NSIC Rc222,11.9,0.33
2012,2824.6,33.1,26.37,90.2,3.19,29.5,5.19,71.6,26.4,82.2,99.8,Rc160,12.0,0.69
2013,1914.2,33.93,25.66,80.7,5.75,20.2,5.3,65.1,12.6,135.5,150.0,Tubigan 18,7.1,0.43
2014,2544.5,32.24,21.51,67.9,6.68,29.6,6.75,51.8,28.2,92.1,200.0,Tubigan 18,9.2,0.36
2015,2545.4,34.63,23.27,73.4,6.58,39.8,5.41,79.0,14.5,134.4,98.1,IR29,0.8,-0.1
2016,3197.7,35.93,25.72,75.8,4.16,34.9,6.76,50.4,10.9,123.8,178.0,Tubigan 18,14.9,0.53
2017,2416.5,34.56,20.47,80.3,7.52,22.5,5.96,106.8,39.1,75.9,104.9,IR64,11.0,1.43
2018,2155.8,33.56,22.71,86.6,3.31,41.2,5.24,69.6,33.2,105.7,173.9,Tubigan 18,1.2,0.04
2019,1175.0,32.26,25.96,63.5,8.33,33.3,5.18,70.0,39.4,121.0,168.1,IR29,13.6,-0.28
2020,1112.5,31.59,22.83,91.1,9.63,41.0,5.38,77.9,24.3,81.2,116.1,Rc160,9.3,0.84
