Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2151.1,29.7,22.21,69.4,7.17,23.1,5.67,71.8,33.6,112.0,186.8,Tubigan 18,1.0,0.37
2011,1968.4,33.26,24.51,89.2,3.07,20.4,5.0,64.2,39.7,73.2,164.9,NSIC Rc222,16.9,0.38
2012,2035.8,31.78,22.77,60.5,6.25,39.3,5.54,45.3,26.3,133.0,87.5,Tubigan 18,19.6,0.48
2013,1364.0,35.04,24.99,73.3,9.74,40.2,6.16,58.3,38.9,117.2,97.7,Tubigan 18,15.9,0.17
2014,1795.5,29.73,21.39,71.8,6.63,23.0,6.75,59.7,12.3,94.9,80.9,NSIC Rc222,17.1,-0.15
2015,1798.5,33.42,26.23,60.7,7.74,26.6,6.52,78.7,21.0,120.7,155.7,NSIC Rc222,4.8,0.14
2016,941.4,32.86,22.01,64.4,5.18,20.4,5.04,99.8,16.8,83.4,133.7,Tubigan 18,19.2,0.26
2017,2872.4,30.36,22.57,74.5,8.42,27.3,6.62,77.9,15.9,91.1,96.1,Rc160,3.9,0.56
2018,1924.6,29.09,20.41,77.3,8.41,39.3,6.41,44.6,14.2,142.6,195.0,Tubigan 18,19.0,0.39
2019,3019.9,33.21,20.78,74.2,6.65,32.9,6.4,116.6,28.7,86.1,143.6,IR29,19.9,0.7
2020,3095.9,33.91,23.61,78.6,9.83,28.7,5.82,115.4,33.4,102.3,109.0,Tubigan 18,14.2,0.39
