Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3251.3,33.33,21.55,73.9,5.5,25.5,6.37,87.3,35.1,71.5,80.2,Rc160,0.4,0.79
2011,3348.0,29.3,22.25,92.2,8.51,21.0,5.51,54.9,20.0,128.9,167.5,Rc160,5.4,0.88
2012,3392.4,32.52,25.94,94.8,4.76,20.9,5.64,66.5,30.8,60.0,196.0,IR64,10.4,0.22
2013,2207.9,34.17,25.1,61.6,6.95,24.4,6.61,108.4,33.1,97.5,106.9,Rc160,5.4,0.36
2014,3438.7,31.99,20.67,86.6,5.51,41.7,6.7,56.6,29.6,107.0,159.6,IR29,12.6,0.52
2015,2844.7,28.1,23.0,73.0,7.6,27.1,6.61,45.7,14.5,64.9,169.0,Tubigan 18,9.6,0.56
2016,1236.5,28.07,20.2,73.7,4.68,43.8,5.76,45.5,36.3,147.6,181.8,Tubigan 18,7.2,0.21
2017,2087.6,30.86,23.37,86.4,4.34,34.5,6.4,115.3,26.2,80.4,130.7,IR64,19.0,0.37
2018,2739.5,35.41,24.64,92.1,9.43,30.9,5.86,80.6,18.5,87.4,116.4,Rc160,12.6,0.7
2019,1467.8,29.83,20.83,93.3,3.71,34.5,5.9,72.8,22.8,87.4,119.0,NSIC Rc222,2.6,-0.03
2020,2529.7,33.07,22.02,80.2,6.54,32.9,5.37,104.9,11.1,80.7,165.5,NSIC Rc222,11.2,0.68
