Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1975.4,32.93,20.83,77.6,5.73,36.9,6.78,55.2,14.3,123.3,133.9,IR64,10.0,0.72
2011,2283.1,34.75,26.73,62.5,4.34,21.8,5.59,86.6,27.9,93.6,153.5,IR64,14.9,0.49
2012,1642.4,28.78,25.0,71.0,5.88,25.1,6.69,56.4,15.2,110.7,105.6,IR29,6.5,-0.14
2013,2102.8,32.47,26.67,92.7,9.54,29.5,6.65,81.6,37.8,100.6,192.7,Rc160,17.8,0.77
2014,2168.0,32.01,21.59,89.8,6.01,44.6,5.02,45.9,12.1,120.5,80.8,IR64,1.7,0.73
2015,1845.5,33.65,26.16,94.4,9.15,39.6,5.81,88.4,22.9,112.5,172.7,NSIC Rc222,16.1,0.55
2016,3247.7,32.27,25.66,82.0,7.24,38.3,6.76,81.3,30.9,107.3,155.0,IR29,17.2,0.23
2017,843.4,32.33,24.74,68.7,4.73,22.9,5.19,99.2,23.7,82.5,124.8,IR64,16.3,-0.1
2018,2911.9,31.44,24.38,65.7,5.49,39.5,5.99,90.5,12.8,60.2,86.1,Tubigan 18,10.3,-0.05
2019,1135.8,30.47,22.22,66.5,3.59,39.6,6.76,84.0,26.6,75.7,155.3,NSIC Rc222,8.8,0.38
2020,2953.4,31.86,25.71,60.7,5.33,35.0,6.0,95.2,29.2,70.5,126.3,IR64,19.9,0.11
