Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2406.0,35.9,25.51,87.5,5.86,20.2,6.42,103.6,24.7,139.3,169.9,Tubigan 18,4.1,0.89
2011,1804.9,30.33,22.88,81.0,9.47,43.1,6.14,110.8,22.9,70.9,148.6,IR64,7.8,0.66
2012,1699.2,34.17,26.12,67.0,3.78,31.1,5.67,67.6,32.2,117.1,198.3,NSIC Rc222,17.9,0.41
2013,3189.4,31.42,24.47,80.7,6.61,33.8,5.49,76.9,35.9,112.4,129.8,Tubigan 18,4.1,1.1
2014,1834.9,29.65,25.84,74.3,8.51,26.4,5.42,73.2,26.0,70.7,170.5,Tubigan 18,10.2,0.46
2015,2132.5,34.4,23.5,76.4,9.6,38.6,5.57,41.1,33.7,79.1,184.6,IR64,8.4,0.53
2016,1564.9,30.67,23.75,61.0,8.23,21.9,6.63,63.7,18.9,88.0,161.5,Tubigan 18,0.4,0.3
2017,2924.3,34.92,21.01,67.4,8.04,41.8,5.14,76.7,26.2,75.0,129.4,Tubigan 18,15.9,0.89
2018,1873.1,35.32,25.49,69.8,8.79,40.7,6.49,72.9,20.4,81.9,170.4,Tubigan 18,1.4,0.7
2019,2186.7,34.88,22.94,85.0,6.12,25.4,5.63,97.8,22.4,84.1,104.4,NSIC Rc222,9.5,0.22
2020,1484.1,28.28,23.5,60.4,8.64,40.2,5.94,70.8,32.0,90.2,119.3,IR64,11.2,-0.09
