Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3108.4,32.33,21.54,83.2,8.62,39.0,5.56,92.8,16.6,98.9,186.6,Rc160,2.6,0.5
2011,3182.9,35.74,22.45,76.9,6.63,34.9,5.43,103.7,27.9,62.8,119.0,Tubigan 18,0.4,0.69
2012,2059.0,28.53,22.61,60.2,3.98,36.4,5.39,61.8,17.9,83.4,188.1,Rc160,7.2,0.71
2013,1004.4,33.19,20.48,88.2,7.7,42.2,5.76,95.4,29.9,63.0,199.5,Tubigan 18,15.7,0.84
2014,1847.1,28.59,22.59,87.0,7.34,34.5,6.63,61.1,34.4,139.1,179.0,NSIC Rc222,11.3,0.67
2015,2969.6,31.0,23.25,79.2,8.2,35.8,5.91,115.1,33.3,81.9,181.4,Rc160,6.3,0.61
2016,3234.8,34.43,25.06,62.3,4.19,23.9,5.34,90.9,32.8,110.2,109.9,Tubigan 18,13.1,0.87
2017,1349.4,31.47,24.6,86.8,4.36,31.8,5.14,66.0,15.6,63.5,149.2,Rc160,4.6,0.32
2018,980.8,35.98,24.96,80.4,9.23,37.9,6.25,61.6,12.7,120.0,88.1,Rc160,0.3,0.25
2019,3168.8,32.47,20.06,87.4,8.25,26.8,5.69,55.3,31.0,89.1,91.4,Tubigan 18,15.3,0.45
2020,1851.4,30.57,21.52,86.3,9.36,25.1,6.48,95.6,21.1,140.8,199.9,Tubigan 18,12.5,0.84
