Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2710.0,33.2,23.5,83.4,6.42,30.6,5.52,45.4,18.1,86.9,183.8,Rc160,3.8,0.49
2011,1850.9,34.44,24.84,89.3,5.81,22.1,6.44,118.0,13.0,80.9,98.6,IR29,6.9,0.26
2012,1418.0,33.72,24.88,65.9,4.08,35.2,6.8,105.4,15.0,71.7,89.9,IR29,10.9,0.92
2013,2411.5,32.75,24.54,60.7,7.01,42.0,5.05,108.2,14.4,83.1,138.1,IR64,19.8,0.32
2014,3306.1,28.43,21.93,87.3,4.94,42.1,6.62,115.0,39.2,92.0,116.3,IR64,13.3,1.13
2015,3308.7,31.64,21.09,81.3,9.45,36.5,6.12,46.8,32.8,120.7,147.6,NSIC Rc222,4.0,0.77
2016,1723.1,33.4,24.45,84.5,7.08,25.3,6.75,70.8,39.0,65.6,176.5,IR64,0.9,0.1
2017,2224.7,33.42,24.2,89.3,7.15,41.6,5.84,45.7,23.2,78.9,96.5,NSIC Rc222,2.5,0.52
2018,1371.4,30.98,21.26,88.1,5.48,42.2,6.53,56.9,18.4,132.8,149.7,Tubigan 18,11.3,0.2
2019,3488.2,35.53,24.94,93.6,3.36,24.9,5.11,58.3,33.9,73.2,140.7,NSIC Rc222,15.3,0.67
2020,3449.0,29.34,23.19,78.8,3.22,38.4,5.6,77.5,19.8,90.8,97.3,IR64,18.8,0.37
