Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2187.4,33.93,23.91,60.9,4.86,20.2,6.21,108.2,37.7,143.5,85.0,IR29,5.6,0.92
2011,3238.9,30.24,22.6,68.8,6.88,39.3,6.37,114.3,30.9,92.9,156.5,NSIC Rc222,2.8,0.43
2012,3202.7,29.05,25.5,78.2,4.4,37.6,5.08,119.7,28.3,88.6,151.7,Tubigan 18,6.3,0.37
2013,3008.2,34.84,21.77,78.3,5.06,35.4,6.16,103.7,16.0,127.4,158.4,IR29,17.0,0.23
2014,2177.4,29.32,26.57,80.6,4.66,39.0,5.41,100.3,11.7,98.8,103.1,NSIC Rc222,1.8,0.69
2015,2787.8,34.83,26.26,86.3,9.64,32.8,6.21,57.2,27.1,67.9,115.5,IR64,19.8,0.31
2016,2184.8,31.93,22.36,81.8,9.61,37.6,5.84,66.9,29.5,85.5,154.4,IR64,10.8,-0.18
2017,3147.9,31.25,25.11,81.0,7.27,43.4,6.39,77.3,16.3,97.7,152.0,IR29,19.7,0.63
2018,1887.5,35.23,24.01,61.9,9.47,29.4,5.22,101.9,26.7,86.3,140.8,IR29,18.8,0.59
2019,3419.6,32.83,22.36,73.2,8.5,37.7,6.13,113.2,35.7,89.9,122.0,Rc160,9.1,0.37
2020,3317.3,32.61,26.92,68.1,7.13,31.9,5.5,55.1,35.1,86.4,189.6,NSIC Rc222,4.0,0.41
