Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1594.5,30.36,20.82,60.5,8.46,41.6,5.43,99.6,27.0,97.9,108.7,Tubigan 18,11.1,0.6
2011,1110.0,30.39,24.78,80.3,3.69,25.6,5.26,46.1,15.5,114.2,141.5,IR64,0.6,0.09
2012,3342.1,28.86,26.65,63.7,3.53,41.8,5.21,111.7,14.2,144.3,172.8,Rc160,18.1,0.56
2013,2917.4,31.52,20.96,90.6,5.53,39.7,5.05,103.5,27.3,88.1,85.3,NSIC Rc222,3.1,0.34
2014,2048.5,33.84,25.14,78.3,3.65,38.7,5.94,52.7,32.9,82.5,163.2,IR64,4.4,-0.07
2015,3135.4,35.52,24.43,84.5,7.1,34.0,5.39,44.1,33.4,118.9,157.8,Rc160,10.4,0.26
2016,1473.5,32.83,24.09,74.4,4.58,26.2,6.78,84.6,18.3,115.7,107.8,IR29,14.2,0.15
2017,2736.2,34.91,22.73,79.6,9.27,30.6,6.03,52.5,16.1,89.9,161.8,Tubigan 18,1.9,0.42
2018,3111.6,34.58,22.49,93.0,8.48,39.8,5.25,106.8,10.5,143.5,192.8,NSIC Rc222,6.4,0.51
2019,1763.3,29.39,20.32,62.9,7.9,20.8,6.24,68.7,30.4,136.0,85.6,Tubigan 18,19.4,0.32
2020,2845.2,31.89,21.53,68.9,7.32,39.6,6.62,113.0,12.3,80.2,118.4,IR29,5.2,0.37
