Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1998.5,32.38,21.48,76.1,6.96,25.9,5.02,45.0,19.5,138.4,168.1,IR29,10.9,0.79
2011,3212.7,30.2,26.0,75.1,6.1,40.8,6.54,82.8,17.8,128.3,121.6,IR29,2.1,0.94
2012,2576.7,35.21,25.74,70.7,8.58,43.7,6.32,85.3,12.6,125.5,128.9,IR29,0.9,0.28
2013,821.8,29.72,23.08,66.9,8.07,27.6,6.7,100.1,12.7,103.6,95.1,IR29,13.1,0.88
2014,3346.6,35.07,20.93,62.3,7.83,26.6,6.41,50.6,15.8,122.4,100.6,IR64,10.7,0.62
2015,1440.3,32.48,22.68,91.0,5.38,27.0,5.56,81.1,11.5,109.7,179.3,Rc160,1.6,-0.2
2016,1090.6,34.63,24.34,74.7,8.63,26.9,5.45,55.6,28.8,79.5,150.2,Rc160,0.7,-0.37
2017,2873.9,33.7,23.18,77.4,3.37,20.9,6.26,47.5,18.6,78.8,120.5,IR29,19.8,0.95
2018,2151.3,33.57,25.46,92.1,4.12,43.2,5.66,72.8,18.4,86.7,176.3,IR64,0.6,0.74
2019,1971.2,30.59,26.98,87.2,5.35,25.3,6.02,53.1,20.0,142.0,109.6,IR29,8.9,1.04
2020,1473.7,29.87,21.34,64.6,3.54,30.5,5.01,57.7,29.9,109.3,197.1,IR64,10.1,0.3
