Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,863.5,33.22,26.23,83.1,5.88,35.8,6.44,89.2,37.1,85.9,187.9,Rc160,9.8,0.25
2011,1960.0,34.25,26.61,82.8,3.88,40.1,6.55,86.5,35.1,86.9,146.4,Tubigan 18,17.2,0.32
2012,1553.1,34.33,25.36,68.8,3.19,29.9,5.27,60.3,13.8,140.2,177.5,NSIC Rc222,11.8,0.64
2013,1148.8,32.82,20.04,82.8,7.36,40.1,6.53,100.5,13.8,61.2,126.1,Rc160,13.9,0.48
2014,1068.8,32.09,20.01,67.4,8.65,34.8,6.78,46.5,34.4,89.0,160.0,IR29,7.3,0.22
2015,2428.6,28.49,22.65,64.3,8.89,24.1,6.31,113.9,37.7,109.9,198.7,Rc160,14.8,-0.14
2016,2213.7,30.3,21.0,84.5,6.38,20.6,6.41,66.1,23.8,73.3,107.1,IR64,13.3,0.21
2017,1484.7,28.75,20.13,64.0,8.44,29.1,6.79,50.2,25.0,68.3,126.8,NSIC Rc222,2.4,0.51
2018,2071.6,35.71,23.25,94.9,7.71,33.7,6.09,75.4,19.5,133.4,137.6,Tubigan 18,11.5,0.49
2019,2129.0,29.08,26.6,66.4,8.07,41.0,5.55,43.4,36.8,140.5,96.6,IR64,5.1,-0.04
2020,1326.5,29.21,22.27,80.8,6.45,23.2,6.51,94.8,29.3,134.1,89.7,IR64,16.1,-0.26
