Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1604.8,32.19,26.35,70.6,5.42,31.3,5.36,95.9,14.5,78.1,127.3,IR64,1.1,0.38
2011,1550.2,30.17,26.98,93.8,8.71,44.6,5.32,57.2,15.2,88.4,152.4,Tubigan 18,12.0,0.4
2012,2883.1,31.19,24.9,82.0,6.27,20.0,5.47,43.4,36.4,131.2,176.2,IR29,18.0,0.92
2013,2560.1,32.79,25.39,92.6,3.54,35.3,5.95,69.1,26.8,142.4,136.3,Tubigan 18,7.7,0.6
2014,3047.5,33.22,22.36,83.7,4.16,35.4,5.2,47.9,36.1,92.4,130.7,IR64,4.3,0.87
2015,3433.8,29.23,26.59,70.8,3.43,31.4,6.56,49.3,21.1,87.6,199.5,Rc160,8.9,0.72
2016,2080.2,35.82,23.71,73.0,6.5,29.9,5.54,60.3,28.4,77.6,81.3,Tubigan 18,1.0,0.8
2017,980.1,32.36,25.13,79.3,3.74,31.4,5.29,63.6,25.7,121.1,187.4,NSIC Rc222,16.4,0.38
2018,929.8,29.09,26.47,87.7,3.8,30.4,6.22,82.4,19.6,89.1,97.9,IR29,16.5,0.18
2019,1598.3,35.15,26.83,71.1,9.59,38.3,5.07,94.3,24.1,148.9,174.3,Tubigan 18,11.8,1.02
2020,3317.9,28.6,25.83,80.3,9.11,23.4,6.12,87.4,25.1,89.3,154.2,IR29,7.1,0.85
