Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1395.3,31.53,21.02,61.5,3.86,20.1,6.08,113.8,22.3,65.4,96.0,Tubigan 18,16.5,-0.28
2011,2489.3,29.31,23.54,66.5,6.63,36.8,6.31,45.8,39.3,122.3,99.0,Rc160,5.1,0.28
2012,2343.3,29.48,20.43,78.9,4.72,36.0,5.57,62.4,15.4,72.6,193.9,NSIC Rc222,9.5,0.15
2013,1299.1,29.62,20.5,82.6,5.51,30.3,5.71,68.0,34.0,97.4,185.6,IR64,0.9,0.45
2014,960.9,31.09,24.02,61.6,9.93,32.2,5.43,102.6,20.0,109.4,188.8,Tubigan 18,14.0,-0.01
2015,2431.8,28.41,23.96,93.1,7.79,30.4,5.17,119.4,31.9,96.2,199.0,IR64,6.6,-0.06
2016,2862.0,31.18,26.15,89.5,9.64,20.6,5.32,59.3,22.6,106.8,105.0,Rc160,14.9,0.45
2017,2213.2,32.09,23.91,70.4,4.0,28.4,6.44,109.9,27.4,149.7,122.7,Tubigan 18,8.2,0.51
2018,1412.3,31.87,26.72,62.7,5.67,24.4,6.22,106.4,35.0,72.2,160.3,IR29,3.9,0.21
2019,2599.6,31.06,20.34,65.9,6.88,22.5,5.98,58.0,34.1,120.8,138.1,NSIC Rc222,10.3,0.29
2020,1016.3,34.71,20.69,64.4,3.54,43.9,5.86,71.9,36.0,95.6,130.2,Rc160,2.6,0.04
