Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,883.5,33.02,24.16,81.2,9.2,42.6,6.45,74.3,37.6,141.3,189.4,Tubigan 18,12.0,0.27
2011,2728.9,34.47,24.13,73.6,8.71,20.6,5.15,90.6,34.4,84.1,91.7,Rc160,1.6,0.66
2012,1776.4,32.89,20.47,90.2,3.13,25.2,5.69,98.1,34.8,133.1,182.4,NSIC Rc222,12.9,0.64
2013,1138.5,30.37,25.82,70.8,8.15,30.4,5.67,69.4,33.9,67.4,119.4,Tubigan 18,12.5,-0.12
2014,1484.8,30.05,21.24,70.3,4.46,28.9,6.6,51.8,19.7,114.0,86.5,Rc160,12.8,0.8
2015,2533.6,30.62,25.06,69.3,3.93,42.8,5.27,56.5,33.0,103.7,160.3,Rc160,6.1,-0.06
2016,1543.9,29.32,25.41,71.6,7.47,21.0,5.27,65.1,14.3,109.1,107.8,IR29,17.2,0.51
2017,2135.2,29.45,25.0,79.5,5.24,32.8,5.59,90.9,29.7,143.4,109.2,Rc160,19.2,0.84
2018,1128.6,34.33,24.05,84.7,3.4,37.0,5.1,71.9,29.2,138.4,116.7,IR64,4.4,0.22
2019,2387.9,31.08,20.1,83.2,3.96,43.3,5.33,40.5,10.8,130.7,87.6,Tubigan 18,1.8,0.4
2020,1653.4,31.49,22.52,88.3,3.01,35.5,6.74,81.9,33.6,84.6,101.3,IR64,3.9,0.53
