Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2065.7,34.9,20.39,76.6,4.94,32.0,5.42,58.6,30.1,137.7,194.2,Rc160,6.5,-0.05
2011,2705.2,29.86,21.79,75.8,3.32,41.6,6.27,100.0,11.0,84.0,96.4,IR64,0.4,0.46
2012,3289.9,33.56,23.69,90.4,9.52,22.6,5.55,62.0,26.0,108.1,144.5,NSIC Rc222,15.2,0.48
2013,1183.4,33.04,21.2,78.6,7.63,33.8,5.44,90.0,11.1,137.3,102.2,NSIC Rc222,0.9,0.28
2014,1621.5,34.91,21.17,76.4,8.22,32.8,5.13,46.5,34.2,89.3,131.4,IR64,17.3,0.35
2015,1176.0,29.06,23.24,74.4,5.18,27.0,6.34,76.2,19.6,145.9,87.4,NSIC Rc222,2.4,1.01
2016,2452.4,35.82,20.23,88.6,8.92,40.6,6.28,99.1,26.9,71.0,106.9,NSIC Rc222,3.4,0.37
2017,1627.0,32.66,20.85,91.3,4.82,38.8,5.42,94.9,18.4,61.6,123.6,IR64,9.5,0.8
2018,1680.5,35.96,22.91,89.9,3.01,38.3,6.35,105.2,33.5,141.4,132.6,IR64,14.8,0.84
2019,991.5,35.29,20.44,83.6,5.63,41.9,6.65,110.2,36.6,66.2,197.3,Rc160,2.8,0.47
2020,1744.4,29.77,22.78,64.8,7.0,38.1,5.19,101.9,22.0,149.3,176.9,Rc160,8.8,0.28
