Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3040.5,30.09,23.34,88.7,7.6,32.9,5.98,86.5,36.7,67.8,117.5,IR64,4.1,0.14
2011,2567.8,35.76,23.35,79.7,6.95,30.3,5.37,97.2,13.4,103.9,167.0,IR64,5.8,1.03
2012,1910.3,33.88,25.38,83.5,9.53,25.0,5.98,59.2,10.1,122.2,175.6,IR64,15.0,0.44
2013,2591.1,33.6,24.4,92.4,7.11,30.3,5.42,75.5,25.1,83.6,180.0,NSIC Rc222,9.7,0.37
2014,1119.2,34.82,24.43,81.7,6.68,21.8,6.53,62.6,27.5,116.2,198.3,NSIC Rc222,4.3,-0.23
2015,1884.0,28.93,23.15,88.9,8.32,34.4,5.72,46.5,27.4,134.6,175.0,Tubigan 18,19.3,0.29
2016,2941.4,33.65,23.72,84.1,7.99,41.3,5.44,110.1,11.6,77.1,152.2,IR29,14.3,0.43
2017,1395.4,32.03,25.22,79.3,4.35,38.1,6.46,98.3,19.4,142.5,120.7,IR29,19.1,0.58
2018,1302.1,34.63,25.78,68.5,6.3,29.0,5.62,64.1,25.0,109.8,145.4,IR64,8.5,0.42
2019,3367.2,32.07,24.88,74.9,6.31,22.2,5.2,87.9,16.5,86.9,84.9,Rc160,9.5,0.23
2020,1366.7,32.96,26.47,93.9,5.65,25.1,6.03,56.1,36.2,98.8,169.4,NSIC Rc222,18.0,0.33
