Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2765.9,30.62,21.27,90.0,5.12,34.8,5.33,66.2,39.2,105.4,181.3,NSIC Rc222,5.7,0.78
2011,2420.7,34.53,23.01,83.3,6.73,24.8,5.15,99.0,25.5,129.2,111.5,IR29,12.6,1.11
2012,2774.4,32.78,21.16,75.2,6.95,36.7,5.79,42.9,28.4,65.6,130.6,IR64,9.1,0.27
2013,2878.3,31.15,24.95,93.4,7.2,35.6,6.18,78.0,17.1,111.9,84.8,Rc160,9.6,0.15
2014,3433.6,31.79,23.75,85.2,4.16,35.1,5.79,66.9,24.5,70.7,133.9,NSIC Rc222,15.2,0.65
2015,2348.6,34.84,24.45,92.6,5.66,32.2,5.5,113.6,22.9,63.3,149.3,NSIC Rc222,5.6,0.78
2016,1722.4,30.72,21.38,78.5,7.32,33.2,6.0,41.0,12.2,64.7,148.5,NSIC Rc222,6.4,0.05
2017,2550.9,34.96,21.48,69.1,9.79,28.4,5.62,84.2,13.2,135.1,119.9,IR29,18.5,0.48
2018,984.8,28.71,20.29,61.8,8.09,33.0,6.68,99.3,35.1,70.6,117.9,IR64,1.1,0.65
2019,3223.0,34.21,22.25,85.4,9.46,24.9,6.66,78.8,17.2,64.1,92.8,Tubigan 18,9.7,0.08
2020,1122.3,34.78,23.92,64.2,8.34,40.1,5.9,46.8,15.8,99.4,124.0,IR64,18.3,0.32
