Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3317.9,30.48,20.28,60.7,9.55,25.1,5.68,75.6,36.5,63.5,137.0,NSIC Rc222,6.1,0.42
2011,2354.3,29.61,22.28,61.2,8.26,39.9,6.44,99.4,14.6,93.1,126.3,Tubigan 18,3.9,0.44
2012,1140.5,35.27,23.28,75.6,9.59,38.5,5.78,58.3,27.9,148.1,196.0,IR29,2.6,0.37
2013,2370.6,34.08,21.04,88.6,7.74,21.6,6.57,44.7,29.9,97.9,163.7,IR29,6.0,0.99
2014,2869.1,33.41,26.89,91.0,5.54,29.7,5.33,64.0,22.6,105.2,90.0,Tubigan 18,15.6,0.41
2015,1897.3,30.41,21.46,63.0,9.57,27.1,6.71,77.9,31.0,141.9,183.6,Tubigan 18,9.4,0.46
2016,3175.6,29.47,20.91,78.8,4.93,27.6,5.39,53.4,22.3,124.6,137.7,IR64,4.5,0.4
2017,2551.4,34.05,21.42,92.0,5.33,44.6,5.59,68.4,25.1,112.4,88.3,NSIC Rc222,3.3,0.22
2018,3228.0,31.79,25.38,73.6,7.91,36.1,6.36,72.0,10.2,131.8,146.0,Tubigan 18,6.7,0.4
2019,2483.5,29.81,22.98,89.0,8.36,37.9,5.71,44.6,30.8,137.8,130.1,Tubigan 18,18.8,0.32
2020,1154.5,32.93,23.96,64.7,9.51,44.4,6.09,86.7,29.8,101.1,185.3,Rc160,6.9,0.38
