Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2062.8,31.11,21.0,77.9,8.67,44.9,5.98,102.5,29.4,93.5,196.0,IR64,8.9,0.16
2011,2435.9,35.1,24.06,69.1,9.64,27.2,6.25,78.7,25.3,68.3,133.2,IR29,11.5,0.66
2012,1956.5,35.15,21.98,71.1,3.64,33.5,5.93,103.5,23.4,101.2,118.5,NSIC Rc222,19.7,0.33
2013,873.2,30.69,21.95,63.0,4.13,33.3,6.78,86.1,39.0,95.5,143.1,Tubigan 18,4.8,0.57
2014,2915.5,32.92,22.83,70.6,9.73,30.1,6.1,67.4,27.1,138.0,162.5,IR29,13.6,0.4
2015,828.4,35.42,26.99,93.8,6.76,24.2,5.67,104.8,35.9,82.0,112.8,NSIC Rc222,14.3,0.11
2016,2857.1,35.7,20.38,93.1,3.1,44.4,6.39,59.1,14.2,147.0,168.4,NSIC Rc222,12.1,0.35
2017,3211.9,32.07,24.05,71.7,4.8,41.3,5.31,58.0,27.1,146.2,86.2,IR29,1.8,0.24
2018,1968.7,31.62,20.58,80.0,6.15,32.5,5.69,80.4,36.0,82.3,85.9,IR29,13.5,0.62
2019,2246.0,30.23,21.08,91.8,7.85,35.1,5.62,60.9,27.5,91.3,126.4,NSIC Rc222,1.3,1.08
2020,2087.9,35.67,23.08,60.2,8.13,25.7,5.78,40.7,31.5,140.6,122.4,NSIC Rc222,11.9,0.29
