Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1444.6,28.54,24.91,84.3,5.34,32.6,6.38,74.8,24.0,83.4,199.7,Rc160,0.8,0.09
2011,1376.6,30.54,20.07,94.6,7.06,28.1,5.21,63.4,13.2,94.7,111.6,NSIC Rc222,7.2,0.07
2012,1910.1,30.13,22.86,67.9,9.22,26.5,6.16,83.6,29.5,144.9,113.5,Rc160,16.5,0.39
2013,2700.9,32.05,22.31,83.2,6.99,31.6,6.5,50.7,36.0,114.9,191.7,IR64,14.0,0.47
2014,1387.1,34.22,24.85,81.3,7.42,23.3,6.04,95.3,34.8,135.1,83.0,Rc160,9.2,0.37
2015,1790.0,34.87,25.36,92.0,6.63,43.2,6.16,103.6,28.8,123.9,163.6,Rc160,1.1,-0.29
2016,1855.5,34.76,22.13,65.5,3.36,41.7,5.83,53.1,12.3,70.1,167.0,IR29,8.5,0.25
2017,3436.4,30.88,25.68,86.3,4.63,37.7,5.95,48.3,13.4,126.2,180.4,IR64,9.4,0.93
2018,3377.6,33.5,22.06,79.9,6.44,22.7,5.06,51.6,11.5,84.8,196.9,IR64,18.6,0.96
2019,2960.4,30.5,23.12,69.6,5.17,39.4,6.15,110.2,17.7,117.5,197.1,Rc160,12.8,0.23
2020,1452.5,28.49,25.09,76.6,4.27,40.2,5.15,82.3,14.1,90.7,87.8,IR29,6.2,0.57
