Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1652.3,34.57,25.32,66.4,4.92,36.9,6.5,97.0,29.4,86.5,196.2,IR64,18.5,0.38
2011,1138.2,29.96,20.34,62.0,3.19,41.5,5.1,54.1,17.0,91.9,134.3,Tubigan 18,16.4,0.52
2012,2569.9,31.37,25.91,80.6,8.15,44.1,6.35,58.8,14.7,110.8,193.5,Rc160,7.1,0.63
2013,907.5,34.71,23.07,89.4,7.38,35.7,6.53,79.5,30.5,82.7,161.2,Rc160,13.1,-0.04
2014,2413.7,35.02,22.4,60.6,7.07,24.6,5.52,113.2,27.8,142.4,116.2,Tubigan 18,10.7,0.68
2015,3148.2,29.95,23.83,61.7,8.19,22.6,6.15,56.9,32.6,83.9,102.6,IR29,13.5,0.35
2016,3205.2,32.4,20.64,80.0,7.73,40.3,5.57,51.5,19.3,140.6,116.4,Tubigan 18,13.7,0.64
2017,2012.4,29.54,25.3,88.7,4.44,34.5,6.72,100.7,23.4,69.3,91.2,Tubigan 18,12.6,0.29
2018,2040.1,28.82,24.08,71.4,5.47,35.5,5.06,80.0,22.2,119.1,97.3,IR29,5.3,0.32
2019,1007.8,35.29,21.31,72.2,3.88,39.5,6.04,112.9,39.5,141.6,92.6,IR29,0.8,0.48
2020,2611.1,34.56,21.32,80.9,3.91,37.6,5.3,51.7,18.8,75.2,130.8,IR29,9.1,0.16
