Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1982.0,35.3,24.57,83.2,4.9,27.0,5.31,87.6,16.3,60.8,177.6,Rc160,18.3,0.95
2011,1638.0,33.07,22.84,93.8,8.71,21.8,5.65,110.9,32.1,61.8,150.6,NSIC Rc222,16.0,0.35
2012,2857.7,33.77,24.17,92.1,5.65,21.4,6.15,72.9,19.6,112.8,105.3,NSIC Rc222,9.0,0.7
2013,3327.7,30.06,20.75,77.6,3.62,23.0,5.13,88.3,25.2,101.0,108.4,Tubigan 18,14.4,0.78
2014,3340.0,33.76,20.12,87.8,5.4,34.5,5.65,90.4,14.9,106.6,155.4,NSIC Rc222,11.7,1.23
2015,1271.9,28.22,26.37,64.8,9.87,43.2,5.96,73.4,38.8,60.7,179.6,Tubigan 18,9.8,0.18
2016,3161.8,31.0,21.89,94.2,7.41,32.4,6.79,51.5,35.5,98.0,129.9,IR64,3.8,0.28
2017,2791.1,33.01,25.74,93.8,5.91,41.1,5.85,47.5,35.9,124.6,111.0,NSIC Rc222,9.3,0.58
2018,1482.7,29.17,27.0,65.7,4.17,31.1,6.47,41.3,22.2,99.8,184.0,IR64,4.9,0.05
2019,981.7,34.58,21.48,70.5,9.9,37.7,5.78,109.9,32.9,125.9,160.3,IR64,18.3,0.69
2020,1523.6,29.88,21.86,63.5,8.75,38.3,6.43,58.9,14.3,81.0,133.8,NSIC Rc222,6.7,0.23
