Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1395.3,32.69,20.55,68.2,8.53,39.3,5.52,41.1,25.1,66.6,145.5,NSIC Rc222,2.5,0.3
2011,1244.3,28.88,22.32,60.7,7.31,32.1,6.71,85.3,33.0,116.4,90.7,Tubigan 18,17.3,0.49
2012,1897.1,35.73,21.74,90.8,3.31,42.4,5.09,114.6,24.6,82.8,130.2,IR29,11.9,0.39
2013,3301.8,29.4,26.92,93.8,7.36,42.7,5.27,93.3,14.5,132.3,182.4,Rc160,2.5,0.78
2014,2718.1,33.18,22.73,72.0,5.16,22.2,5.97,105.8,29.4,133.6,182.7,NSIC Rc222,8.6,0.82
2015,1931.1,29.96,25.13,71.8,5.58,43.4,6.04,41.1,15.2,148.1,91.9,IR29,3.2,0.28
2016,2196.6,33.74,24.79,60.2,8.39,40.6,6.16,83.4,36.2,105.2,90.9,IR64,14.0,-0.56
2017,1027.4,34.21,21.48,83.8,8.68,39.8,5.03,76.8,28.4,100.9,111.5,Tubigan 18,15.2,0.0
2018,3458.4,33.39,21.67,88.9,5.8,25.0,6.73,79.9,14.7,127.8,185.0,IR64,2.1,0.97
2019,2599.3,32.92,21.97,65.1,9.63,40.1,5.08,45.8,38.9,71.9,95.5,NSIC Rc222,10.1,0.47
2020,1570.6,35.14,22.88,65.6,5.85,41.3,5.26,94.8,25.6,109.2,166.4,NSIC Rc222,16.3,0.22
