Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1699.9,29.35,21.81,67.2,4.25,36.5,5.54,91.0,38.4,73.9,155.1,IR29,16.8,0.68
2011,2128.2,31.69,21.7,86.0,6.45,44.7,5.27,104.1,27.4,87.1,86.5,IR29,4.2,0.24
2012,2346.5,30.46,23.2,61.8,3.57,26.6,5.51,77.3,26.2,82.4,180.4,IR64,1.5,0.39
2013,1443.5,28.28,25.32,89.8,4.37,36.8,5.68,68.9,11.5,93.5,141.4,Rc160,14.1,-0.03
2014,2943.7,30.59,21.44,66.9,9.61,21.3,6.36,48.7,11.9,82.9,143.2,Rc160,8.1,0.52
2015,2113.5,32.35,24.97,90.6,9.84,22.8,5.97,110.1,15.6,104.0,147.4,NSIC Rc222,18.4,-0.1
2016,1701.9,32.41,20.15,72.3,5.63,20.1,5.14,102.7,11.0,96.7,100.5,Tubigan 18,13.0,-0.0
2017,1088.4,30.85,22.93,85.3,9.46,45.0,5.03,53.4,32.3,148.8,103.7,NSIC Rc222,1.8,0.47
2018,1444.9,31.58,25.43,71.2,6.81,40.1,5.18,81.0,31.7,65.0,118.3,Rc160,19.0,0.48
2019,3363.1,35.72,22.37,91.7,4.89,39.7,5.74,79.0,14.1,72.8,151.2,IR64,5.2,0.47
2020,1623.8,31.02,23.95,64.4,7.92,32.7,6.68,90.0,35.1,64.8,105.2,NSIC Rc222,6.7,0.02
