Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1808.1,31.12,26.44,66.1,4.1,33.7,5.37,110.5,21.3,111.9,136.0,IR29,14.2,0.33
2011,1208.8,32.63,20.66,71.8,9.82,34.8,6.02,68.0,21.0,118.3,86.3,Rc160,0.1,0.06
2012,2955.8,35.29,23.81,60.6,8.9,36.3,6.56,46.7,25.8,62.6,84.5,Tubigan 18,10.4,0.47
2013,2709.5,32.43,25.18,74.0,6.51,26.4,5.78,98.0,34.3,115.6,166.1,IR29,0.8,0.02
2014,1314.0,29.4,25.3,79.2,9.87,29.1,6.74,64.9,20.9,105.9,144.6,Rc160,11.4,0.97
2015,1790.1,31.03,24.25,81.7,3.68,41.1,5.81,102.6,25.7,109.1,141.0,IR29,18.4,-0.02
2016,1085.7,34.75,21.17,83.2,5.12,24.9,5.26,75.4,30.1,92.3,109.2,IR29,19.4,-0.07
2017,2496.2,33.15,25.58,89.3,7.47,40.7,5.7,78.8,18.1,67.3,169.4,Tubigan 18,10.8,0.33
2018,1127.7,33.21,25.04,67.5,5.45,34.1,6.71,102.2,18.3,77.4,100.2,Rc160,9.2,0.63
2019,3462.0,34.93,20.6,64.2,9.5,39.1,5.58,70.6,38.0,145.6,102.8,IR64,18.9,0.62
2020,2907.8,35.15,23.25,89.8,3.46,37.8,6.56,75.5,31.7,96.8,135.3,NSIC Rc222,13.5,0.15
