Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3325.9,29.97,26.93,91.1,5.7,39.2,5.23,84.1,18.0,134.2,154.7,IR64,19.7,0.96
2011,3263.0,31.68,21.95,71.5,9.41,26.7,5.95,107.3,30.6,118.3,81.2,IR64,16.8,0.69
2012,1365.2,33.03,23.49,71.0,8.33,34.8,5.48,119.7,38.5,147.2,103.4,IR29,0.7,0.61
2013,906.4,32.46,22.31,77.9,6.54,38.0,5.04,74.4,18.0,124.3,139.0,Tubigan 18,13.2,-0.01
2014,2801.5,33.94,23.08,92.9,9.92,43.5,6.3,65.6,34.3,143.2,194.1,Tubigan 18,5.7,0.73
2015,3034.5,30.24,26.0,61.7,6.26,42.0,5.06,112.5,11.7,106.5,126.0,IR29,11.2,1.05
2016,3413.2,32.52,24.79,72.3,3.41,32.9,6.07,55.3,26.1,70.5,130.9,IR64,5.6,0.66
2017,3202.6,28.71,26.18,90.0,4.84,39.4,5.97,89.2,12.1,107.5,165.8,NSIC Rc222,7.0,0.41
2018,2421.4,31.31,21.42,73.9,6.05,34.1,6.74,72.5,38.0,71.4,152.5,IR64,18.5,1.12
2019,2231.1,34.0,26.11,67.0,4.1,33.8,5.87,43.3,33.0,113.3,115.9,Tubigan 18,4.1,0.44
2020,875.2,33.55,20.42,74.9,9.63,22.9,5.11,67.8,29.7,103.4,129.3,IR64,17.5,0.29
