Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3250.9,34.94,24.7,60.1,5.39,32.6,5.32,115.6,11.7,129.0,88.3,Tubigan 18,3.6,0.66
2011,2770.4,32.0,21.68,69.9,8.23,36.6,6.25,57.0,30.2,147.5,134.8,IR29,4.8,0.64
2012,2785.8,28.49,25.21,90.8,6.85,42.8,6.11,81.6,25.9,85.7,153.2,IR29,8.4,0.86
2013,1016.0,33.72,25.25,80.8,6.17,41.8,5.87,78.0,29.9,66.4,110.7,NSIC Rc222,5.0,-0.01
2014,1770.6,32.99,22.22,81.3,4.19,32.5,5.7,60.7,27.7,91.1,128.8,IR64,6.4,0.67
2015,3117.6,35.76,23.39,74.1,7.46,30.9,6.64,105.5,22.7,126.9,161.3,NSIC Rc222,2.7,0.4
2016,1428.0,32.47,22.06,83.7,9.82,28.5,5.05,112.0,16.0,99.4,107.2,NSIC Rc222,5.9,-0.09
2017,1111.9,30.69,21.81,66.6,8.78,38.0,6.38,102.6,19.2,133.6,152.2,NSIC Rc222,11.4,0.48
2018,1680.5,32.15,20.18,88.7,3.42,27.2,6.62,55.6,25.7,109.4,163.7,NSIC Rc222,8.8,0.72
2019,1395.2,35.83,22.0,64.1,5.63,26.2,5.8,46.9,29.6,143.7,90.9,IR29,6.9,1.07
2020,3298.3,33.57,23.88,83.0,9.48,28.9,5.99,88.4,33.4,145.3,139.7,IR64,14.9,0.23
