Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3133.9,34.43,23.22,74.5,5.36,20.1,6.79,62.9,13.4,103.4,127.8,Rc160,2.0,0.76
2011,1635.3,32.5,25.73,63.1,3.63,26.0,5.73,62.4,36.1,105.3,118.0,Tubigan 18,1.1,0.07
2012,2674.2,33.93,26.51,75.3,9.73,43.5,5.52,52.8,29.1,88.4,136.1,Rc160,13.3,0.72
2013,843.5,33.29,23.82,68.1,8.65,24.3,6.0,53.1,14.9,125.6,114.3,IR64,16.2,0.22
2014,1806.2,30.84,24.63,70.2,6.22,22.8,5.55,62.8,22.9,138.7,195.4,IR64,10.2,0.14
2015,1749.6,34.47,26.32,87.0,4.57,34.3,5.16,103.4,18.6,144.5,117.5,NSIC Rc222,1.1,0.58
2016,2267.4,30.36,20.69,62.6,9.53,41.5,5.0,112.5,32.1,132.5,91.8,Tubigan 18,10.7,0.3
2017,996.4,32.57,21.62,89.0,5.41,31.9,5.81,118.0,23.6,136.6,143.2,Tubigan 18,18.7,-0.23
2018,2933.4,33.96,24.96,75.0,4.13,44.9,6.51,58.6,39.7,109.5,86.9,Rc160,12.0,0.22
2019,1388.0,31.03,25.77,80.9,6.94,37.0,6.03,110.5,11.6,134.3,93.3,NSIC Rc222,16.2,0.24
2020,2628.0,30.42,26.0,63.1,9.61,21.9,6.8,66.3,20.7,87.3,106.3,Tubigan 18,16.0,0.64
