Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1853.8,30.48,26.94,65.3,3.21,32.8,6.55,114.2,36.3,100.1,185.9,Rc160,2.5,0.57
2011,1086.4,32.06,24.4,69.2,3.07,31.9,6.13,91.9,26.5,64.4,97.6,Tubigan 18,16.9,0.39
2012,2610.2,31.21,22.59,75.0,3.53,40.9,6.37,70.4,29.7,111.2,165.3,IR64,7.2,0.52
2013,1579.9,34.84,21.58,85.6,6.75,38.9,6.38,100.4,21.5,94.4,196.8,Rc160,13.2,-0.09
2014,2381.1,31.46,26.11,71.8,8.98,32.1,5.64,93.8,18.5,128.1,174.9,IR64,9.4,0.3
2015,2396.6,31.09,25.7,71.5,3.03,22.8,5.49,82.5,31.7,87.5,109.2,Rc160,4.0,0.68
2016,2741.8,33.52,21.64,70.0,9.56,22.9,6.44,47.9,35.9,113.4,189.0,IR64,12.0,0.18
2017,2812.2,32.82,21.4,76.7,3.74,40.0,5.68,105.0,29.6,108.4,91.2,Rc160,1.2,-0.25
2018,2189.0,28.86,25.01,66.3,8.89,33.2,6.63,109.3,25.3,60.4,136.2,IR29,8.3,0.34
2019,1693.7,32.07,22.2,77.0,6.38,32.0,5.13,53.8,14.8,66.5,186.5,NSIC Rc222,10.9,0.29
2020,3061.1,33.88,22.14,84.6,7.62,37.0,5.1,108.0,11.6,86.1,157.0,IR29,8.7,0.59
