Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2601.0,28.0,22.49,65.3,8.49,33.2,6.22,46.0,29.4,113.3,83.4,IR64,1.4,0.69
2011,3261.3,29.93,25.23,83.3,5.76,43.2,6.4,80.3,10.6,135.2,109.4,NSIC Rc222,5.6,1.02
2012,1733.2,29.67,23.85,70.0,7.52,32.1,5.24,54.6,29.6,63.9,185.8,Tubigan 18,6.5,0.67
2013,2478.1,30.0,25.72,80.5,4.05,32.3,6.08,85.9,28.6,81.3,129.9,IR29,18.9,0.55
2014,904.8,34.45,26.72,80.5,9.53,23.0,5.06,91.0,19.3,140.1,166.4,Tubigan 18,5.7,0.09
2015,1304.3,30.24,25.55,75.6,5.68,40.1,5.9,84.5,12.6,60.8,190.2,Tubigan 18,9.2,0.33
2016,3044.4,29.53,24.23,89.3,8.11,26.2,5.28,99.1,12.7,78.1,129.0,IR29,13.4,0.5
2017,2870.3,32.03,23.45,69.3,3.14,42.5,5.33,66.8,37.7,146.3,103.0,Rc160,3.2,0.8
2018,1746.7,34.93,20.28,75.7,4.44,42.8,5.66,101.2,30.7,115.2,142.1,NSIC Rc222,9.7,0.6
2019,1817.4,29.93,26.89,78.8,6.41,43.6,5.78,74.6,13.8,83.6,189.0,NSIC Rc222,14.8,0.26
2020,2240.6,28.63,22.68,83.2,9.15,33.0,6.12,78.7,20.7,66.0,176.5,IR64,17.3,-0.02
