Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2468.1,33.84,26.21,87.3,4.23,43.3,6.1,108.7,36.1,74.7,133.3,Tubigan 18,15.2,0.6
2011,2878.9,31.29,22.65,87.0,8.69,24.6,6.02,48.8,29.9,133.1,110.8,NSIC Rc222,12.1,0.75
2012,1080.7,33.03,25.25,68.0,6.79,26.3,6.29,115.8,23.0,136.8,102.8,IR29,11.4,-0.12
2013,3398.4,33.59,20.68,92.3,3.92,30.2,6.69,73.9,34.6,142.3,160.4,NSIC Rc222,1.1,0.59
2014,3203.6,33.69,23.33,80.7,8.36,29.6,6.64,40.7,37.2,83.9,80.0,NSIC Rc222,2.8,-0.11
2015,1529.9,28.42,26.94,73.3,9.53,39.9,6.7,75.4,13.6,141.4,176.7,NSIC Rc222,12.5,0.26
2016,3021.5,34.88,25.39,77.6,9.63,31.4,5.44,43.7,26.0,88.9,89.5,NSIC Rc222,4.2,0.27
2017,2199.5,31.67,21.47,81.2,5.58,24.3,5.24,83.5,18.5,109.7,103.0,IR64,10.1,0.51
2018,2046.9,30.1,23.51,79.6,3.95,26.7,5.54,67.1,11.4,64.5,126.3,Tubigan 18,10.9,-0.12
2019,1649.0,29.93,21.64,77.0,6.63,32.7,6.61,77.9,30.1,63.9,138.2,IR29,5.7,0.17
2020,2368.6,31.86,22.87,77.7,3.79,23.7,6.75,89.1,35.9,124.8,122.6,Tubigan 18,19.0,0.72
