Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,884.3,29.97,26.03,84.3,6.81,32.0,5.14,47.6,36.9,75.8,165.7,NSIC Rc222,17.2,0.0
2011,3410.5,32.26,26.6,77.1,4.18,29.3,5.95,118.1,30.6,113.7,103.5,IR64,0.1,0.7
2012,2221.8,31.86,23.63,77.9,8.32,32.3,5.73,62.9,17.5,98.2,162.8,Rc160,0.7,0.32
2013,1618.9,33.62,22.47,69.4,9.89,34.5,6.06,73.9,12.0,100.2,126.8,Tubigan 18,18.2,0.37
2014,1779.0,28.54,21.64,75.9,9.62,24.7,5.16,92.0,30.7,82.9,129.9,NSIC Rc222,15.5,0.32
2015,979.3,29.55,20.35,76.5,4.38,42.5,5.78,42.0,27.2,134.3,136.3,Rc160,9.0,0.82
2016,3471.2,29.72,21.88,84.7,9.13,36.9,5.31,104.8,22.1,103.7,124.1,IR29,15.1,0.48
2017,906.1,33.91,24.58,92.9,7.93,35.8,6.78,82.9,20.9,108.9,92.1,IR64,19.1,-0.05
2018,2568.2,29.51,23.74,71.5,6.18,22.5,6.01,62.3,16.5,87.4,117.2,Rc160,15.4,0.45
2019,1995.4,32.59,26.61,61.5,6.78,35.1,6.24,44.9,30.1,76.4,159.6,Rc160,16.8,0.35
2020,3362.1,29.72,22.77,77.4,8.95,23.0,5.59,53.0,39.1,67.7,159.9,Tubigan 18,15.2,0.64
