Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3490.0,30.69,25.08,66.0,8.55,32.2,6.3,55.7,38.3,111.6,91.3,Rc160,16.5,0.34
2011,3083.0,30.47,20.57,69.5,4.58,28.4,5.49,106.1,28.1,133.9,194.2,Tubigan 18,12.2,0.87
2012,2449.6,28.16,25.02,67.4,7.77,33.7,6.52,106.5,13.2,62.6,154.7,IR64,8.9,0.6
2013,908.3,32.66,21.75,81.1,4.78,38.7,5.77,63.4,27.2,116.8,164.8,IR64,18.9,0.05
2014,3233.9,33.59,26.14,77.6,9.19,39.6,5.49,110.0,25.0,91.5,115.8,IR64,1.0,0.75
2015,2305.1,34.83,25.69,90.3,6.93,28.1,5.69,101.7,35.7,86.3,129.5,Rc160,17.0,0.36
2016,3144.9,29.12,26.7,93.3,4.3,38.0,6.5,73.4,25.9,95.3,106.9,IR64,20.0,0.62
2017,3053.0,32.35,26.19,74.2,4.57,36.4,5.27,99.9,17.7,90.8,191.9,IR29,17.7,0.6
2018,3049.1,28.06,26.53,77.7,6.46,44.0,5.82,116.9,30.3,134.9,138.6,IR64,16.2,0.67
2019,2685.1,28.76,26.01,94.0,9.73,43.3,5.89,76.7,26.3,84.7,155.7,Tubigan 18,7.5,0.59
2020,1586.8,28.43,24.85,69.7,8.39,39.7,5.07,59.1,17.0,126.0,168.1,NSIC Rc222,4.6,0.45
