Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1598.7,28.74,26.2,67.5,8.66,20.8,5.94,89.7,17.9,68.3,128.9,Rc160,3.3,0.69
2011,3198.2,33.84,25.87,86.5,4.33,38.2,5.52,97.5,31.3,89.4,101.3,IR64,14.7,0.5
2012,3069.6,30.78,26.18,82.4,3.77,40.9,5.48,85.6,13.0,99.3,93.2,NSIC Rc222,6.0,0.23
2013,2076.8,33.45,26.45,64.2,8.05,30.4,6.67,99.1,11.0,85.2,148.0,NSIC Rc222,9.3,0.64
2014,905.5,30.98,20.73,76.9,4.09,39.1,5.31,51.3,26.8,112.4,191.4,Tubigan 18,12.0,-0.04
2015,2524.1,29.16,20.9,84.0,8.95,24.4,6.04,110.6,30.8,65.0,86.6,Tubigan 18,3.4,0.63
2016,936.6,31.25,23.9,87.3,8.08,28.1,6.0,86.6,33.9,73.0,130.6,NSIC Rc222,14.8,0.12
2017,3301.0,28.9,26.26,60.7,8.89,44.4,6.33,50.1,20.2,122.6,164.9,Rc160,6.1,0.55
2018,3396.4,32.62,26.82,91.2,5.09,44.7,5.9,77.0,10.2,72.8,135.5,Rc160,13.2,0.63
2019,1311.6,28.33,20.32,79.9,5.22,32.8,5.49,107.6,24.4,117.6,176.8,IR29,3.2,0.06
2020,2626.3,32.22,22.49,88.4,7.7,43.4,5.3,111.8,10.5,64.9,101.6,IR29,13.8,0.55
