Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1857.2,30.6,26.61,60.0,8.04,43.5,6.01,109.5,19.1,77.8,192.8,IR29,8.8,0.45
2011,2726.0,30.67,23.42,92.8,8.98,42.6,5.17,85.5,30.9,60.8,187.0,Rc160,9.8,0.39
2012,2580.4,28.21,22.39,65.8,4.8,34.2,5.36,75.2,33.7,116.5,144.3,Tubigan 18,17.0,0.41
2013,2486.7,30.73,26.47,68.2,3.15,28.9,5.74,45.4,18.9,88.5,145.2,Rc160,14.1,-0.31
2014,1562.9,34.43,20.17,69.2,4.56,29.5,5.37,77.2,24.9,147.6,158.5,Rc160,9.8,0.25
2015,1820.7,35.18,24.07,61.3,3.4,30.3,6.58,105.7,22.6,77.4,126.4,NSIC Rc222,5.2,0.64
2016,1078.0,32.15,23.84,64.3,3.72,38.2,5.28,89.2,22.3,91.1,157.7,Tubigan 18,17.7,0.04
2017,2741.4,31.64,21.54,94.5,6.02,31.3,5.82,106.6,16.9,92.2,85.4,IR64,11.5,0.51
2018,2160.5,28.25,23.0,71.0,4.61,41.4,6.09,79.5,14.1,60.8,86.5,IR64,4.4,0.17
2019,2713.7,35.03,24.57,64.0,6.61,43.6,6.25,49.5,15.9,135.5,134.9,Rc160,5.4,0.61
2020,1472.1,28.1,25.09,63.7,4.77,28.4,5.69,41.1,11.7,62.9,146.0,Rc160,16.1,0.21
