Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2549.2,34.15,26.31,62.0,7.19,23.8,6.41,76.4,30.8,140.5,122.4,NSIC Rc222,8.8,0.19
2011,2722.6,32.77,21.15,91.3,3.22,43.0,5.82,112.7,11.2,104.8,157.1,NSIC Rc222,2.3,0.44
2012,1281.8,30.7,22.67,78.5,4.92,38.9,6.43,48.4,35.2,135.8,109.5,NSIC Rc222,14.1,-0.03
2013,1014.9,30.1,20.99,83.4,3.23,38.3,6.51,97.6,23.4,132.1,93.1,Rc160,18.2,0.42
2014,3339.1,28.98,24.37,89.1,5.94,37.7,6.18,95.0,29.1,96.9,175.3,IR29,13.0,0.54
2015,1503.8,32.08,25.1,65.3,9.27,25.0,5.41,47.7,16.6,80.7,91.9,IR64,15.5,0.5
2016,3104.0,32.68,26.52,61.4,9.88,25.3,5.49,113.8,30.3,96.5,112.6,Tubigan 18,7.2,0.39
2017,3131.4,30.87,21.95,90.8,7.46,37.2,5.57,85.5,33.2,134.4,182.6,Rc160,3.7,0.37
2018,2885.8,31.8,26.65,71.0,4.13,25.5,5.21,69.1,24.2,80.5,121.6,IR64,12.9,0.28
2019,1255.9,30.91,20.44,64.5,9.34,31.0,5.49,100.5,28.5,107.2,196.8,IR29,6.6,0.4
2020,3018.9,33.13,24.22,76.4,6.61,39.6,5.38,60.6,23.7,132.5,197.6,Rc160,17.2,0.33
