Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,986.8,35.14,22.24,93.7,5.19,41.0,5.73,59.3,24.4,77.9,106.9,NSIC Rc222,8.1,-0.01
2011,1694.3,31.58,26.39,75.0,8.79,20.8,6.58,93.8,24.7,81.6,120.9,IR64,15.4,0.25
2012,1562.7,32.24,22.86,66.9,7.16,33.0,5.75,55.7,31.7,119.3,198.9,Tubigan 18,8.7,0.41
2013,2298.9,31.33,25.24,81.9,8.56,34.2,5.72,111.7,38.1,141.9,142.8,Tubigan 18,18.9,0.49
2014,2772.1,34.8,20.79,84.0,9.93,34.0,5.07,48.4,12.7,148.4,104.6,Rc160,9.4,0.38
2015,2238.8,29.84,21.73,64.4,7.75,31.9,5.99,96.5,10.6,77.8,120.2,Rc160,17.5,0.54
2016,3313.8,29.92,25.65,87.5,9.89,39.8,6.28,80.0,34.2,72.1,119.6,Rc160,16.2,0.35
2017,3368.9,30.98,25.34,60.6,3.2,23.3,5.21,109.6,13.2,65.1,82.4,IR64,19.6,0.2
2018,1776.0,29.84,22.7,76.9,5.37,27.8,5.55,50.1,39.6,138.1,96.2,NSIC Rc222,18.5,0.43
2019,2899.7,32.49,26.68,71.6,3.75,35.4,6.41,94.2,28.6,86.5,163.4,Tubigan 18,18.0,0.15
2020,2794.8,29.08,26.37,85.9,4.84,37.3,5.66,85.8,29.5,60.2,94.4,Tubigan 18,14.6,0.58
