Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1675.5,31.63,26.97,80.9,3.24,36.8,5.37,89.3,15.5,98.6,83.2,IR64,7.2,-0.26
2011,1099.8,33.47,20.72,81.2,3.99,42.4,5.04,118.9,20.2,71.4,81.5,IR29,0.2,0.5
2012,1995.5,30.88,21.26,76.8,7.26,31.2,5.86,91.2,26.3,111.0,185.6,Rc160,12.5,1.07
2013,1483.8,33.34,20.91,88.5,4.26,30.9,5.92,108.8,31.4,95.9,85.4,Rc160,14.1,-0.25
2014,3254.9,28.32,22.29,62.2,4.58,39.6,5.43,115.7,16.3,85.6,167.7,IR64,13.0,0.48
2015,1074.7,31.13,21.47,88.5,3.18,22.3,5.22,114.4,30.2,75.3,184.6,Tubigan 18,19.4,0.23
2016,932.7,34.33,23.48,77.3,8.06,33.0,6.06,70.5,31.1,90.2,91.8,Tubigan 18,17.3,-0.31
2017,814.3,34.42,23.33,64.7,8.67,40.9,6.38,46.3,26.8,114.7,132.4,Rc160,9.0,0.08
2018,1685.8,33.73,26.31,91.0,8.58,40.8,6.79,53.7,37.1,111.8,195.5,IR64,1.3,0.06
2019,2583.0,29.63,20.24,82.7,3.89,43.9,6.36,44.7,13.3,74.7,180.1,IR64,9.5,0.72
2020,2772.1,29.98,22.24,65.7,9.32,37.5,6.43,48.4,15.3,71.2,138.8,IR64,13.8,-0.02
