Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,980.0,29.4,25.83,91.1,7.89,38.2,5.44,99.4,10.7,69.9,192.9,Tubigan 18,13.0,0.16
2011,3040.1,28.52,25.96,71.1,3.01,36.7,5.5,94.8,11.7,97.8,184.1,Rc160,14.3,0.17
2012,2318.4,32.62,22.97,65.8,9.1,21.8,6.61,100.7,11.6,88.5,114.5,Rc160,13.8,0.31
2013,2611.2,30.86,20.47,86.1,3.21,38.7,6.15,82.6,37.2,63.2,120.0,Tubigan 18,6.4,0.48
2014,2698.4,30.2,20.01,73.2,7.99,21.3,6.32,91.1,31.6,72.3,131.2,IR64,5.0,0.93
2015,1587.0,34.46,23.66,76.6,3.32,33.6,6.65,116.3,30.3,128.8,96.7,Tubigan 18,19.1,0.23
2016,2070.0,30.94,22.41,82.1,4.86,26.5,6.64,48.1,25.7,61.6,82.7,IR29,18.5,0.7
2017,3381.9,30.54,26.98,91.8,6.48,34.7,6.33,64.7,33.5,144.1,184.3,Tubigan 18,9.1,1.03
2018,2870.1,34.8,25.41,74.7,5.94,26.5,5.36,88.9,14.7,67.8,146.5,IR64,16.9,0.93
2019,3417.8,34.77,25.33,87.4,4.34,44.6,6.52,117.1,21.8,131.9,153.0,Tubigan 18,9.0,0.69
2020,2814.9,30.85,26.69,69.4,5.34,27.7,5.37,47.6,24.7,140.9,191.2,Rc160,8.5,-0.09
