Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1167.9,30.99,25.4,69.6,4.89,20.2,6.55,48.5,10.6,132.8,132.8,NSIC Rc222,11.1,0.38
2011,3196.4,31.1,25.8,73.8,8.38,30.1,5.28,58.6,28.1,132.0,90.9,NSIC Rc222,11.2,0.31
2012,2071.1,28.77,21.19,73.6,9.2,42.7,5.81,116.0,18.3,101.1,166.2,Tubigan 18,14.1,0.28
2013,3170.9,35.32,26.28,70.0,4.55,38.5,5.73,116.7,35.9,114.6,105.6,NSIC Rc222,3.5,0.66
2014,2381.8,28.73,24.59,69.4,6.24,33.6,6.24,47.8,18.5,114.4,103.6,Rc160,5.0,0.98
2015,2620.3,33.19,26.17,90.1,6.29,33.2,5.45,41.2,30.6,134.4,129.5,Rc160,16.2,0.33
2016,2971.5,31.31,23.4,62.4,9.12,28.7,6.15,52.9,30.2,98.3,107.3,Rc160,18.9,0.66
2017,2579.7,31.24,23.79,83.7,8.34,33.0,6.58,119.7,16.6,84.8,150.1,Rc160,2.7,-0.01
2018,1874.7,33.44,26.43,66.0,6.59,36.4,5.75,54.4,11.0,83.9,124.6,Tubigan 18,10.0,0.68
2019,2186.8,28.54,26.3,72.1,7.7,30.5,6.64,80.2,22.3,108.3,133.9,IR29,4.3,-0.11
2020,2968.2,32.75,23.14,62.2,8.93,37.9,6.79,107.9,18.7,100.4,144.5,Rc160,1.2,0.78
