Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1034.7,31.77,25.07,71.0,8.2,30.8,5.31,53.2,13.8,104.6,140.8,NSIC Rc222,6.3,0.32
2011,1402.0,32.59,25.64,86.4,4.76,21.3,6.72,104.3,39.2,125.9,95.2,IR29,9.2,0.64
2012,1307.8,35.42,22.03,67.7,6.18,32.9,6.54,103.4,16.9,67.9,137.2,Tubigan 18,4.7,0.34
2013,1955.7,34.63,24.65,73.6,5.7,32.6,5.41,50.2,33.2,120.1,171.6,Rc160,12.5,0.22
2014,2577.4,30.58,22.99,90.3,9.87,23.7,5.59,71.9,20.2,140.6,111.0,IR29,6.0,0.11
2015,1512.3,29.9,26.22,85.4,5.74,22.6,5.38,53.6,14.3,65.2,137.7,IR64,19.4,0.61
2016,832.6,30.1,25.92,74.1,3.56,23.1,5.89,60.4,35.7,72.7,199.0,IR64,14.1,0.47
2017,2201.1,32.04,23.68,67.5,3.63,22.5,5.04,61.1,19.3,124.5,162.4,IR29,2.7,0.21
2018,2435.6,33.95,24.84,72.5,7.14,35.2,6.21,84.5,29.8,99.4,181.0,IR29,8.3,0.27
2019,3399.8,32.03,26.18,69.9,7.2,24.9,5.94,72.9,27.0,96.3,129.8,Tubigan 18,7.7,0.95
2020,2391.6,28.54,23.47,66.2,5.93,26.3,6.62,115.8,24.2,72.3,172.1,IR29,10.7,0.59
