Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,1954.69,30.96,22.29,80.16,8.26,29.36,6.0,56.75,29.58,86.76,173.1,Rc160,10.09,0.68
2011,2151.81,30.35,22.41,79.1,7.8,29.11,6.1,60.91,32.12,83.15,176.17,PSB Rc82,5.56,0.84
2012,2153.87,29.2,22.09,79.11,7.85,29.54,6.08,65.46,33.84,89.48,188.78,Rc160,9.59,0.72
2013,2175.25,30.54,21.6,79.76,7.81,28.48,6.07,82.25,36.46,111.84,230.55,PSB Rc82,9.19,0.81
2014,2108.85,29.15,22.03,79.33,7.29,31.33,5.99,81.86,40.12,115.14,237.12,NSIC Rc222,10.65,0.84
2015,2163.04,29.06,22.07,78.42,7.74,30.1,6.06,95.61,44.14,128.41,268.16,Rc160,11.38,0.74
2016,2401.96,31.0,21.99,81.54,8.23,28.63,5.96,100.33,49.18,131.59,281.11,PSB Rc82,10.04,0.92
2017,2268.27,30.19,22.09,78.77,7.27,28.41,5.9,92.74,49.01,126.22,267.96,PSB Rc82,12.09,0.85
2018,2473.13,29.09,21.84,80.56,7.43,31.16,6.04,101.98,53.51,131.7,287.2,Tubigan 18,6.43,1.08
2019,2575.9,29.43,22.48,79.31,7.41,31.57,6.1,103.5,58.42,157.54,319.45,IR64,11.56,0.89
2020,2548.64,29.41,21.98,79.07,7.36,31.43,5.92,114.58,63.91,173.92,352.41,NSIC Rc222,7.16,1.09
