Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2337.39,31.86,23.34,80.99,7.89,34.76,6.23,57.08,32.39,81.6,171.07,NSIC Rc222,6.62,0.94
2011,2242.17,31.66,22.85,83.36,7.64,33.52,6.27,65.23,33.33,90.33,188.89,NSIC Rc222,6.79,0.96
2012,2461.75,32.06,22.75,83.14,8.16,32.78,6.17,69.57,36.34,91.76,197.66,Tubigan 18,7.38,1.05
2013,2591.73,31.29,23.31,83.13,8.39,33.39,6.25,80.02,42.13,110.73,232.88,IR64,5.31,0.97
2014,2604.75,31.62,22.92,81.03,8.12,34.62,6.27,82.82,40.69,124.66,248.17,IR64,5.08,0.97
2015,2645.95,32.03,22.6,82.07,7.85,31.8,6.22,98.99,49.88,134.21,283.08,PSB Rc82,10.62,0.93
2016,2747.1,31.53,22.89,82.73,8.14,33.69,6.25,92.14,53.83,134.31,280.28,IR64,8.07,0.96
2017,2824.48,31.51,23.48,82.97,8.18,32.62,6.28,105.71,57.84,149.86,313.41,Rc160,9.92,0.88
2018,3013.81,30.71,23.0,82.78,7.82,34.29,6.2,102.2,54.88,150.94,308.01,Rc160,10.52,0.87
2019,3087.07,31.29,22.91,80.42,8.33,31.07,6.29,126.74,55.26,149.32,331.32,NSIC Rc222,8.65,1.04
2020,2775.95,32.25,22.95,80.92,8.48,33.14,6.24,112.27,66.84,163.43,342.54,PSB Rc82,5.76,1.14
