Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2406.27,33.82,23.53,83.13,9.08,35.3,6.42,67.61,36.21,87.89,191.71,Rc160,5.3,0.9
2011,2779.61,33.54,24.5,83.1,8.74,37.25,6.47,67.17,34.37,99.57,201.11,Rc160,4.29,0.92
2012,2590.98,32.4,23.97,84.29,8.29,36.28,6.5,72.08,41.09,93.39,206.55,IR64,4.44,1.02
2013,2931.91,32.87,24.13,83.95,8.3,36.44,6.33,88.79,44.64,113.02,246.45,Tubigan 18,5.79,1.09
2014,2945.07,33.53,24.08,82.83,8.91,35.28,6.43,84.77,43.8,125.88,254.45,Tubigan 18,8.79,1.05
2015,3107.1,33.87,24.27,83.75,8.65,37.64,6.37,97.66,51.4,129.12,278.18,IR64,5.64,0.96
2016,3190.84,32.12,24.48,83.72,8.37,35.65,6.36,105.95,51.78,131.44,289.17,Rc160,5.81,0.95
2017,3201.91,32.15,24.18,84.49,8.64,34.7,6.38,109.98,50.7,153.18,313.86,Rc160,4.15,0.99
2018,3480.85,32.71,24.29,83.68,8.39,34.87,6.42,116.11,55.86,158.78,330.75,IR64,4.55,1.03
2019,3280.2,33.12,24.26,83.72,8.52,34.01,6.47,113.38,56.56,170.2,340.14,NSIC Rc222,9.5,1.06
2020,3369.57,33.58,23.85,84.6,8.66,34.49,6.33,127.12,60.92,155.38,343.42,Tubigan 18,5.85,1.19
