Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2853.09,35.48,24.61,84.65,9.37,37.33,6.56,70.44,37.22,92.55,200.22,Rc160,5.82,0.89
2011,2889.69,35.18,24.59,85.67,9.0,40.1,6.62,77.98,39.54,104.96,222.49,PSB Rc82,3.38,1.07
2012,2901.55,34.68,25.42,85.55,9.22,40.05,6.69,77.96,41.06,99.58,218.59,NSIC Rc222,5.44,1.09
2013,2952.88,33.92,25.44,84.74,8.31,38.64,6.55,92.81,42.76,106.58,242.14,Rc160,7.84,0.9
2014,3320.53,34.92,25.35,87.48,8.89,38.26,6.58,94.99,53.07,118.36,266.42,NSIC Rc222,4.16,1.09
2015,3344.53,33.7,24.98,86.27,8.66,37.57,6.58,93.02,49.38,119.12,261.52,Rc160,5.36,0.97
2016,3236.72,35.11,24.94,86.48,9.32,40.56,6.67,114.13,52.15,139.35,305.63,Rc160,7.69,0.93
2017,3643.03,33.97,25.12,86.8,8.41,38.68,6.63,105.46,55.08,140.53,301.08,Rc160,8.73,0.9
2018,3583.97,33.66,24.54,87.52,8.44,37.73,6.5,107.95,56.74,146.17,310.86,Rc160,5.77,0.98
2019,3639.34,35.04,25.19,85.86,9.6,40.19,6.69,130.14,70.11,156.98,357.23,Tubigan 18,4.71,1.17
2020,3815.54,34.25,25.19,87.06,9.06,40.84,6.7,127.78,65.7,166.03,359.51,IR64,3.41,1.07
