Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3064.23,36.16,22.27,89.7,9.48,41.53,6.0,63.26,33.44,93.91,190.61,PSB Rc82,4.2,1.03
2011,3596.53,36.78,21.53,87.31,9.72,43.76,6.0,77.81,36.94,96.47,211.22,Rc160,5.54,0.85
2012,3408.12,36.76,22.48,88.77,10.03,43.31,5.93,89.03,46.66,104.25,239.94,Tubigan 18,2.06,1.17
2013,3216.03,35.76,21.71,88.14,9.64,42.67,6.02,84.86,48.73,111.27,244.86,NSIC Rc222,6.36,1.08
2014,3405.02,36.18,22.3,86.49,9.33,42.03,5.94,88.78,48.57,137.05,274.4,Tubigan 18,4.6,1.18
2015,3709.7,36.82,21.59,89.01,9.33,42.99,6.06,109.19,56.3,128.91,294.39,PSB Rc82,6.53,1.0
2016,3752.14,35.53,22.31,88.67,9.51,42.66,6.08,116.73,58.35,146.27,321.35,PSB Rc82,7.88,0.98
2017,4139.98,35.9,21.84,89.11,9.64,42.44,6.04,117.0,56.37,148.11,321.48,PSB Rc82,1.74,1.08
2018,3896.46,36.82,22.25,86.62,10.01,40.1,5.9,128.33,58.83,169.91,357.07,IR64,4.55,1.03
2019,4218.85,36.79,21.84,86.79,10.06,41.16,5.96,135.01,63.01,157.6,355.61,PSB Rc82,3.51,1.07
2020,4187.78,36.16,22.21,88.54,9.72,40.98,5.91,123.64,64.94,186.98,375.56,PSB Rc82,5.03,1.07
