Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3466.45,29.97,22.95,88.37,7.29,29.92,6.24,73.34,36.51,99.05,208.91,Rc160,10.49,0.79
2011,3459.53,29.91,23.13,90.47,7.18,30.89,6.23,74.63,39.73,101.85,216.22,IR64,12.56,0.79
2012,3765.89,30.74,22.98,88.7,8.27,30.5,6.13,88.71,43.63,105.71,238.05,Tubigan 18,5.98,1.1
2013,4053.6,29.84,23.16,90.57,7.9,31.38,6.12,87.99,49.96,123.82,261.78,Tubigan 18,9.57,0.95
2014,3813.53,30.31,23.19,90.46,8.18,29.27,6.28,98.04,50.17,119.73,267.94,PSB Rc82,5.97,1.04
2015,3933.62,30.79,23.27,91.75,7.9,29.47,6.18,108.59,55.35,150.53,314.47,Tubigan 18,7.71,1.07
2016,4373.07,29.28,23.44,91.46,7.33,30.35,6.25,106.77,59.5,159.47,325.74,NSIC Rc222,10.85,0.89
2017,4179.85,30.73,22.75,91.19,7.58,29.62,6.24,116.05,60.29,157.13,333.47,IR64,9.64,0.88
2018,4119.02,29.72,23.09,91.66,7.71,31.04,6.13,114.19,65.65,173.11,352.95,Tubigan 18,10.85,1.05
2019,4475.58,29.8,22.75,88.7,7.35,28.03,6.16,125.22,73.77,164.17,363.15,IR64,6.39,0.94
2020,4528.55,29.61,22.57,91.54,7.21,29.77,6.27,131.89,71.74,181.04,384.68,PSB Rc82,9.12,0.94
