Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,3917.25,32.15,24.42,79.01,8.13,33.13,6.39,72.7,42.35,85.64,200.69,IR64,7.82,0.86
2011,3742.44,31.32,23.96,81.28,7.75,34.95,6.3,80.52,42.44,112.78,235.74,Rc160,11.13,0.82
2012,4150.06,31.36,23.58,79.07,7.52,32.83,6.37,79.17,45.67,106.33,231.17,IR64,8.34,0.86
2013,4132.96,30.66,23.67,80.55,8.09,31.35,6.39,90.59,54.0,113.07,257.66,Tubigan 18,6.36,1.08
2014,4538.97,32.19,23.96,80.78,8.34,33.75,6.36,98.36,55.39,141.41,295.17,PSB Rc82,8.22,0.92
2015,4533.06,32.24,24.06,81.23,7.89,34.6,6.32,115.64,59.17,139.98,314.79,PSB Rc82,8.34,0.93
2016,4475.02,32.29,23.61,78.62,8.62,32.12,6.42,120.43,66.69,152.66,339.78,IR64,4.47,1.03
2017,4596.86,31.54,23.72,80.7,8.19,34.26,6.46,130.2,62.22,161.04,353.46,NSIC Rc222,8.73,0.99
2018,4898.62,31.71,24.14,80.31,7.94,31.88,6.38,125.39,69.12,160.79,355.3,NSIC Rc222,7.28,0.99
2019,4786.77,31.77,23.56,80.19,8.55,31.92,6.46,139.2,69.62,185.99,394.81,NSIC Rc222,4.06,1.14
2020,5037.09,31.61,24.24,81.23,7.89,32.36,6.38,136.12,77.37,199.55,413.03,Tubigan 18,10.82,1.0
