Year,Rainfall (mm),Tmax (°C),Tmin (°C),Humidity (%),Sunshine Hours (hrs/day),Soil Moisture (%),Soil pH,Nitrogen (N kg/ha),Phosphorus (P kg/ha),Potassium (K kg/ha),Fertilizer Used (kg/ha),Rice Variety,Pest Incidence (%),Rice Yield (tons/ha)
2010,2043.33,33.01,25.46,81.34,8.2,35.43,6.61,72.77,37.21,93.39,203.37,PSB Rc82,7.81,1.16
2011,2099.91,32.94,25.19,83.05,8.39,37.36,6.68,88.03,47.26,105.58,240.87,Rc160,5.31,1.14
2012,2270.92,32.0,24.79,81.43,7.82,35.98,6.67,84.86,52.89,123.31,261.06,NSIC Rc222,7.42,1.32
2013,2061.25,33.32,25.0,81.77,8.4,35.88,6.52,102.71,52.69,130.87,286.27,IR64,5.99,1.2
2014,2266.94,33.19,24.85,81.82,8.11,35.34,6.54,107.65,59.72,138.3,305.67,Tubigan 18,10.48,1.37
2015,2410.73,32.32,25.22,83.13,8.47,36.89,6.51,106.04,61.05,142.23,309.33,IR64,8.3,1.29
2016,2307.05,32.22,25.26,80.43,8.11,37.83,6.69,122.03,69.96,149.93,341.92,Tubigan 18,7.02,1.52
2017,2307.9,32.27,25.07,80.73,8.38,36.54,6.55,116.11,64.97,154.34,335.41,IR64,7.23,1.36
2018,2330.67,32.81,24.88,83.21,8.71,36.52,6.59,137.28,66.97,158.12,362.37,Tubigan 18,4.61,1.64
2019,2736.88,33.0,24.88,82.88,8.03,34.05,6.53,147.45,70.14,172.37,389.96,NSIC Rc222,9.38,1.47
2020,2551.23,32.06,24.61,81.7,8.56,37.33,6.57,138.09,74.87,213.25,426.22,Rc160,5.8,1.4
